geoid10,pop_00,ptwhnl_00,ptblknl_00,ptnanl_00,ptasnl_00,ptpanl_00,ptothnl_00,pt2mnl_00,ptlat_00
370630018012,649,49.61,48.54,0.00,0.00,0.00,0.00,0.00,1.85
370630018013,2089,27.86,57.49,0.00,1.15,0.00,0.00,3.26,10.24
370630018014,736,82.20,10.33,0.00,2.72,0.00,0.00,0.00,4.75
370630018015,731,80.85,16.69,0.00,0.00,0.00,0.00,0.00,2.46
370630018021,3938,17.45,57.34,0.00,0.97,0.00,0.33,2.06,21.86
370630018022,1762,14.87,81.61,0.00,0.00,0.00,0.00,3.52,0.00
370630018023,710,32.25,54.65,0.00,0.00,0.00,0.00,0.70,12.39
370630018041,1700,93.29,2.94,0.00,0.00,0.00,0.00,0.00,3.77
370630018042,2455,40.65,52.38,0.73,0.41,0.00,0.85,0.29,4.68
370630018043,2887,44.16,49.95,0.00,0.00,0.00,0.00,5.27,0.62
370630018044,1879,56.15,42.63,0.00,0.00,0.00,0.00,0.00,1.22
370630018051,1168,79.28,9.25,0.00,0.00,0.00,0.34,0.00,11.13
370630018052,1789,70.21,24.09,0.00,3.63,0.00,0.00,1.45,0.61
370630018053,1428,75.00,8.96,0.00,0.56,0.00,0.00,1.19,14.29
370630018054,1593,66.54,28.75,0.75,1.63,0.00,0.00,1.95,0.38
370630019001,751,91.21,3.33,0.00,2.13,0.00,0.00,0.00,3.33
370630019002,896,89.06,8.82,0.00,0.00,0.00,0.00,2.12,0.00
370630020071,1647,71.65,24.41,0.36,1.15,0.00,0.00,0.00,2.43
370630020072,2246,66.65,21.28,0.00,6.81,0.00,0.00,1.16,4.10
370630020073,817,31.95,67.20,0.00,0.00,0.00,0.00,0.86,0.00
370630020081,957,90.49,2.61,0.00,2.30,0.00,0.00,1.67,2.93
370630020082,1860,87.80,5.43,0.65,0.27,0.00,0.00,1.07,4.78
370630020091,1867,0.00,96.09,0.00,0.00,0.00,0.00,2.84,1.07
370630020092,1052,0.00,86.31,0.00,0.00,0.00,0.00,0.00,13.69
370630020093,1867,0.96,95.07,0.00,0.00,0.00,1.50,2.46,0.00
370630020101,1608,12.87,53.61,0.68,7.52,0.00,0.00,3.11,22.20
370630020102,3551,36.98,51.39,1.13,5.35,0.00,0.34,2.42,2.39
370630020103,1990,9.85,89.30,0.85,0.00,0.00,0.00,0.00,0.00
370630020111,2908,67.81,19.81,0.00,6.05,0.00,0.00,1.75,4.57
370630020112,2518,69.54,19.30,0.00,5.60,0.00,1.11,3.14,1.31
370630020113,2415,67.66,16.36,0.50,11.47,0.00,0.00,1.86,2.15
370630020121,3105,81.67,6.79,0.48,4.67,0.00,0.68,0.87,4.83
370630020122,2427,63.08,23.32,0.00,6.22,0.00,0.00,5.11,2.27
370630020123,5014,50.14,34.24,0.32,9.45,0.00,0.22,1.90,3.73
370630020124,2166,66.30,30.79,0.00,0.32,0.00,0.00,0.83,1.75
370630020131,1700,58.77,35.41,0.82,3.88,0.00,0.00,1.12,0.00
370630020132,926,76.03,16.63,0.00,4.10,0.00,0.00,2.48,0.76
370630020133,1710,65.50,22.16,0.76,6.55,0.00,0.35,2.05,2.63
370630020141,3135,53.88,26.76,0.32,14.39,0.00,0.00,2.04,2.62
370630020142,580,60.00,15.00,0.00,11.38,0.00,0.00,4.66,8.97
370630020143,1319,60.12,21.38,3.11,7.51,0.00,0.00,2.88,5.00
370630020151,3127,40.17,23.73,0.00,3.55,0.00,1.95,2.69,27.92
370630020152,2224,41.59,36.65,0.00,9.08,0.00,0.00,0.00,12.68
370630020161,4122,35.47,32.87,0.36,6.33,0.00,0.32,3.25,21.40
370630020171,3782,83.98,6.82,0.00,4.79,0.00,0.37,2.91,1.14
370630020172,1087,92.73,0.92,0.00,2.94,0.00,1.01,0.74,1.66
370630020181,1359,82.19,11.11,0.00,5.45,0.52,0.00,0.44,0.29
370630020182,3795,80.61,8.46,0.00,4.35,0.00,0.00,2.13,4.45
370630021001,1682,87.57,8.98,0.00,2.14,0.00,0.00,1.31,0.00
370630021002,2211,77.61,19.13,0.00,0.81,0.00,0.00,0.32,2.13
370630021003,1928,83.77,11.93,0.00,0.00,0.00,0.00,0.78,3.53
