id,meansp,minsp,maxsp,mediansp,totsp,nums,mhi,pir,mgr_phi,mmoc_phi
370630016033,158562.50,16000.00,239000.00,165000.00,8879500.00,56,54912.00,3.00,16.10,16.10
370630016034,261795.18,32000.00,519000.00,266500.00,21729000.00,83,109083.00,2.44,,14.30
370630016041,225465.69,500.00,490000.00,219000.00,22997500.00,102,74132.00,2.95,23.50,14.50
370630016042,238623.13,20000.00,400000.00,237250.00,31975500.00,134,105673.00,2.25,23.30,16.00
370630016043,233224.36,60000.00,412000.00,229500.00,18191500.00,78,91979.00,2.50,27.90,19.70
370630017051,159168.42,21000.00,275500.00,164500.00,15121000.00,95,64030.00,2.57,21.90,16.30
370630017052,285876.70,1500.00,840000.00,177500.00,26014780.00,91,50522.00,3.51,39.00,13.80
370630017053,135652.59,59850.00,225000.00,130000.00,7867850.00,58,57936.00,2.24,23.60,25.40
370630017061,310348.21,138000.00,510000.00,283250.00,17379500.00,56,39196.00,7.23,25.40,14.30
370630017062,220605.26,72000.00,475000.00,209500.00,8383000.00,38,54125.00,3.87,19.20,14.80
370630017071,272725.00,34500.00,600000.00,259000.00,16363500.00,60,77411.00,3.35,27.30,19.60
370630017072,241432.10,100000.00,419000.00,232000.00,19556000.00,81,59129.00,3.92,26.30,16.70
370630017073,265529.41,115000.00,430000.00,265000.00,9028000.00,34,70625.00,3.75,,14.80
370630017074,295912.28,46500.00,2375000.00,223250.00,33734000.00,114,63190.00,3.53,25.30,19.60
370630017075,634863.64,145000.00,1300000.00,684000.00,48884500.00,77,71923.00,9.51,38.80,11.70
370630017081,153334.32,5000.00,232000.00,162000.00,25913500.00,169,55563.00,2.92,27.70,21.20
370630017091,64974.44,14500.00,137000.00,52250.00,2339080.00,36,42171.00,1.24,,17.50
370630017092,88339.13,1600.00,675000.00,72750.00,4063600.00,46,27961.00,2.60,30.20,29.20
370630017093,134050.00,6000.00,240000.00,127500.00,6702500.00,50,23307.00,5.47,39.20,28.60
370630017101,175265.22,25000.00,631000.00,174500.00,20155500.00,115,49643.00,3.52,35.40,19.90
370630017102,128500.00,2500.00,202500.00,131500.00,5911000.00,46,40313.00,3.26,32.10,17.60
370630017111,139176.47,90000.00,199000.00,133000.00,2366000.00,17,50000.00,2.66,19.60,16.30
370630017112,174800.00,115000.00,222000.00,170250.00,1748000.00,10,29706.00,5.73,34.50,13.30
370630017113,233394.29,98760.00,800000.00,133000.00,1633760.00,7,38267.00,3.48,31.50,17.50
370630018011,150421.55,16000.00,350000.00,156000.00,17448900.00,116,87229.00,1.79,,15.30
370630018012,143464.29,14000.00,301000.00,128500.00,6025500.00,42,50568.00,2.54,29.20,16.80
370630018013,128243.59,7000.00,252000.00,139500.00,15004500.00,117,60134.00,2.32,25.40,22.20
370630018014,127552.88,2000.00,228000.00,131000.00,13265500.00,104,17068.00,7.68,50.00,39.80
370630018015,185384.62,62000.00,325000.00,151500.00,2410000.00,13,47688.00,3.18,,19.50
370630018021,117830.51,16500.00,205000.00,125000.00,6952000.00,59,42173.00,2.96,26.80,24.10
370630018022,203500.00,42500.00,1053000.00,112250.00,6512000.00,32,42262.00,2.66,35.30,22.30
370630018023,105095.40,10000.00,243000.00,109500.00,9143300.00,87,40897.00,2.68,37.50,24.30
370630018024,79042.26,14000.00,149000.00,82000.00,3635944.00,46,35625.00,2.30,13.60,13.40
370630018061,172200.00,40000.00,816000.00,140000.00,11193000.00,65,42632.00,3.28,50.00,22.00
370630018062,187144.23,5000.00,392000.00,185000.00,66436200.00,355,68690.00,2.69,50.00,19.40
370630018071,153268.82,500.00,290000.00,165000.00,14254000.00,93,47670.00,3.46,30.40,19.70
370630018072,170642.58,5000.00,355000.00,166250.00,32422090.00,190,59566.00,2.79,32.90,20.80
370630018073,147831.46,25000.00,210500.00,147500.00,26314000.00,178,73750.00,2.00,22.50,18.20
370630018081,197943.55,5500.00,333000.00,201000.00,24545000.00,124,87155.00,2.31,22.50,16.90
370630018082,297913.76,7500.00,2075000.00,276500.00,350644500.00,1177,91365.00,3.03,23.60,18.30
370630018091,241125.00,40000.00,1300000.00,157500.00,12538500.00,52,48605.00,3.24,23.90,20.40
370630018092,211698.63,20000.00,308000.00,220750.00,30908000.00,146,67436.00,3.27,35.30,16.20
370630019001,380651.97,40000.00,624500.00,370000.00,280540500.00,737,61625.00,6.00,41.70,17.00
370630019002,228351.45,62000.00,665000.00,203250.00,31512500.00,138,77721.00,2.62,18.20,20.70
370630020071,246044.72,63000.00,499500.00,244000.00,30263500.00,123,92955.00,2.62,40.90,18.30
370630020072,271729.62,9000.00,1100000.00,219000.00,19836262.00,73,72071.00,3.04,18.00,18.30
370630020073,274728.67,1000.00,950000.00,213000.00,12362790.00,45,73021.00,2.92,,21.30
370630020081,646659.09,275000.00,1650000.00,570750.00,42679500.00,66,160781.00,3.55,45.20,17.80
370630020082,456121.95,110000.00,1400000.00,384000.00,56103000.00,123,137000.00,2.80,23.90,16.60
370630020091,102359.65,33500.00,193000.00,105000.00,5834500.00,57,35938.00,2.92,36.30,22.80
370630020092,104013.16,17500.00,237000.00,103750.00,3952500.00,38,30625.00,3.39,39.10,27.60
370630020093,100603.95,10000.00,800000.00,92000.00,6438653.00,64,36818.00,2.50,31.40,25.80
370630020131,212490.55,34000.00,380000.00,197000.00,13811886.00,65,55714.00,3.54,33.20,23.40
370630020132,190375.00,104000.00,631000.00,185000.00,10661000.00,56,70813.00,2.61,25.50,13.60
370630020133,215284.38,1000.00,300000.00,220000.00,34445500.00,160,74914.00,2.94,24.10,17.50
370630020151,198726.19,2000.00,360000.00,203000.00,16693000.00,84,42434.00,4.78,32.70,16.90
370630020152,262687.50,90000.00,790000.00,201000.00,10507500.00,40,32204.00,6.24,32.80,23.20
370630020153,209333.33,135000.00,325000.00,168000.00,628000.00,3,70735.00,2.38,25.20,10.00
370630020161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630020162,297630.43,125000.00,619000.00,285000.00,6845500.00,23,35441.00,8.04,31.40,18.70
370630020171,372725.57,90000.00,1250000.00,355000.00,49572501.00,133,94243.00,3.77,36.70,12.80
370630020172,414232.39,215000.00,3209000.00,350000.00,29410500.00,71,70208.00,4.99,32.70,16.10
370630020173,327698.80,45000.00,572000.00,341500.00,27199000.00,83,62563.00,5.46,47.10,16.70
370630020181,520447.37,46000.00,3350000.00,412500.00,49442500.00,95,106563.00,3.87,27.40,10.20
370630020182,293666.67,120000.00,470000.00,246500.00,14096000.00,48,51831.00,4.76,30.90,20.60
370630020183,365417.53,1000.00,1170000.00,340000.00,70891000.00,194,110202.00,3.09,21.20,15.50
370630020191,563586.96,448500.00,660000.00,560000.00,12962500.00,23,63136.00,8.87,21.90,12.70
370630020192,457882.81,145000.00,685000.00,474500.00,29304500.00,64,54302.00,8.74,25.00,24.50
370630020193,322161.11,30000.00,495000.00,327250.00,28994500.00,90,97121.00,3.37,16.60,17.30
370630020201,361496.79,75500.00,1523000.00,325500.00,56393500.00,156,118095.00,2.76,27.20,19.90
370630020202,414105.17,5000.00,2508500.00,380000.00,232313000.00,561,126383.00,3.01,,18.10
370630020211,271465.91,85000.00,450000.00,277250.00,23889000.00,88,61979.00,4.47,21.30,16.40
370630020212,290062.50,200000.00,400000.00,291250.00,9282000.00,32,71023.00,4.10,50.00,21.30
