GEOID10,msp2015,tsp2015,ns2015,msp2016,tsp2016,ns2016
370630001011,0.0,0.0,0.0,0.0,0.0,0.0
370630001012,0.0,0.0,0.0,0.0,0.0,0.0
370630001021,0.0,0.0,0.0,0.0,0.0,0.0
370630001022,0.0,0.0,0.0,0.0,0.0,0.0
370630002001,0.0,0.0,0.0,0.0,0.0,0.0
370630002002,0.0,0.0,0.0,0.0,0.0,0.0
370630002003,0.0,0.0,0.0,0.0,0.0,0.0
370630003011,0.0,0.0,0.0,0.0,0.0,0.0
370630003012,0.0,0.0,0.0,0.0,0.0,0.0
370630003013,0.0,0.0,0.0,0.0,0.0,0.0
370630003021,0.0,0.0,0.0,0.0,0.0,0.0
370630003022,0.0,0.0,0.0,0.0,0.0,0.0
370630003023,0.0,0.0,0.0,0.0,0.0,0.0
370630004011,0.0,0.0,0.0,0.0,0.0,0.0
370630004012,0.0,0.0,0.0,0.0,0.0,0.0
370630004013,0.0,0.0,0.0,0.0,0.0,0.0
370630004021,0.0,0.0,0.0,0.0,0.0,0.0
370630005001,0.0,0.0,0.0,0.0,0.0,0.0
370630005002,0.0,0.0,0.0,0.0,0.0,0.0
370630005003,0.0,0.0,0.0,0.0,0.0,0.0
370630005004,0.0,0.0,0.0,0.0,0.0,0.0
370630006001,0.0,0.0,0.0,0.0,0.0,0.0
370630006002,0.0,0.0,0.0,0.0,0.0,0.0
370630006003,0.0,0.0,0.0,0.0,0.0,0.0
370630007001,0.0,0.0,0.0,0.0,0.0,0.0
370630007002,0.0,0.0,0.0,0.0,0.0,0.0
370630007003,0.0,0.0,0.0,0.0,0.0,0.0
370630009001,0.0,0.0,0.0,0.0,0.0,0.0
370630009002,0.0,0.0,0.0,0.0,0.0,0.0
370630010011,0.0,0.0,0.0,0.0,0.0,0.0
370630010012,0.0,0.0,0.0,0.0,0.0,0.0
370630010013,0.0,0.0,0.0,0.0,0.0,0.0
370630010021,0.0,0.0,0.0,0.0,0.0,0.0
370630010022,0.0,0.0,0.0,0.0,0.0,0.0
370630010023,0.0,0.0,0.0,0.0,0.0,0.0
370630010024,0.0,0.0,0.0,0.0,0.0,0.0
370630011001,0.0,0.0,0.0,0.0,0.0,0.0
370630011002,0.0,0.0,0.0,0.0,0.0,0.0
370630013011,0.0,0.0,0.0,0.0,0.0,0.0
370630013031,0.0,0.0,0.0,0.0,0.0,0.0
370630013032,0.0,0.0,0.0,0.0,0.0,0.0
370630013041,0.0,0.0,0.0,0.0,0.0,0.0
370630014001,0.0,0.0,0.0,0.0,0.0,0.0
370630014002,0.0,0.0,0.0,0.0,0.0,0.0
370630015011,0.0,0.0,0.0,0.0,0.0,0.0
370630015021,0.0,0.0,0.0,0.0,0.0,0.0
