370630001011,NaN,Nan,Nan,NaN,NaN,NaN,NaN,NaN
370630001012,90948.72,18000.00,185000.00,88500.00,3547000.00,39,56547.50,1.57
370630001021,129565.79,31000.00,251000.00,139500.00,4923500.00,38,49196.00,2.84
370630001022,144633.44,40000.00,600000.00,129000.00,8967273.00,62,59118.50,2.18
370630002001,151568.18,40000.00,355000.00,130500.00,3334500.00,22,43805.50,2.98
370630002002,171088.24,40000.00,390000.00,139000.00,2908500.00,17,49986.00,2.78
370630002003,285500.00,150000.00,474500.00,286000.00,8279500.00,29,73829.00,3.87
370630003011,84750.00,38000.00,150000.00,72750.00,847500.00,10,49936.00,1.46
370630003012,157117.65,37000.00,281000.00,157500.00,2671000.00,17,74970.50,2.10
370630003013,357571.43,155000.00,817500.00,205000.00,2503000.00,7,65510.50,3.13
370630003021,292134.15,13000.00,645000.00,272000.00,11977500.00,41,118594.00,2.29
370630003022,308214.29,50000.00,650000.00,265000.00,6472500.00,21,69295.00,3.82
370630003023,500928.57,32000.00,800000.00,487000.00,10519500.00,21,37230.50,13.08
370630004011,177304.35,50500.00,291000.00,185750.00,8156000.00,46,81464.00,2.28
370630004012,319585.71,107000.00,823000.00,328000.00,11185500.00,35,109223.00,3.00
370630004013,311684.21,85000.00,600000.00,320000.00,5922000.00,19,101630.50,3.15
370630004021,237933.33,20000.00,420000.00,246500.00,7138000.00,30,57516.50,4.29
370630005001,151000.00,151000.00,151000.00,151000.00,151000.00,1,7766.50,19.44
370630005002,247416.67,51000.00,325000.00,275000.00,2969000.00,12,37044.50,7.42
370630005003,95000.00,1000.00,199000.00,104500.00,760000.00,8,36607.50,2.85
370630005004,126294.12,27500.00,355000.00,113000.00,2147000.00,17,27589.50,4.10
370630006001,193271.19,20000.00,570000.00,170000.00,11403000.00,59,80751.00,2.11
370630006002,293142.86,70000.00,795000.00,276250.00,8208000.00,28,70984.50,3.89
370630006003,464882.35,267000.00,781000.00,440000.00,7903000.00,17,224624.00,1.96
370630007001,349576.92,140000.00,835000.00,285000.00,4544500.00,13,29392.00,9.70
370630007002,357552.63,134000.00,867500.00,329000.00,13587000.00,38,104435.50,3.15
370630007003,275391.89,59000.00,850000.00,270000.00,10189500.00,37,95713.50,2.82
370630009001,51893.55,16000.00,129000.00,29500.00,570829.00,11,42315.50,0.70
370630009002,71826.92,15000.00,270000.00,46000.00,1867500.00,26,24496.00,1.88
370630010011,76086.96,5000.00,132000.00,89000.00,1750000.00,23,45173.00,1.97
370630010012,69535.71,10000.00,131000.00,64000.00,1460250.00,21,24420.00,2.62
370630010013,63579.16,8000.00,166000.00,40000.00,1970954.00,31,30184.00,1.33
370630010021,47434.78,22500.00,88000.00,45000.00,1091000.00,23,33307.50,1.35
370630010022,40750.00,17000.00,57000.00,44500.00,163000.00,4,29860.50,1.49
370630010023,38966.67,15000.00,70000.00,34000.00,584500.00,15,45769.50,0.74
370630010024,40300.00,12500.00,90000.00,35000.00,604500.00,15,42719.00,0.82
370630011001,189120.00,22500.00,370000.00,214500.00,4728000.00,25,25194.00,8.51
370630011002,57928.57,14000.00,106500.00,41500.00,405500.00,7,32020.00,1.30
370630013011,36327.59,10000.00,110000.00,27500.00,1053500.00,29,23048.50,1.19
370630013031,65315.79,26000.00,190000.00,56000.00,1241000.00,19,39622.50,1.41
370630013032,43166.67,29000.00,64000.00,36500.00,129500.00,3,59776.50,0.61
370630013041,51650.00,16000.00,101000.00,50250.00,1033000.00,20,33710.50,1.49
370630014001,61050.00,12000.00,166000.00,47500.00,610500.00,10,24243.00,1.96
370630014002,43533.61,5500.00,150000.00,35250.00,783605.00,18,23152.50,1.52
370630015011,NaN,Nan,Nan,NaN,NaN,NaN,NaN,NaN
370630015021,84625.00,63500.00,99500.00,87750.00,338500.00,4,38910.50,2.26
370630015022,NaN,Nan,Nan,NaN,NaN,NaN,NaN,NaN
