geoid10,meansp1517,minsp1517,maxsp1517,mediansp1517,stddevsp1517,totsp1517,nums1517
370630017071,256271.0,34500.0,600000.0,240000.0,113447.65895336933,16145114.0,63.0
370630017072,227261.0,45000.0,380000.0,225000.0,73232.91551618029,17044639.0,75.0
370630017073,257820.0,113114.0,430000.0,250750.0,79902.90142416606,7734614.0,30.0
370630017074,275440.0,20000.0,2375000.0,215000.0,360949.2284615663,32226500.0,117.0
370630017075,505335.0,36500.0,1175000.0,571250.0,305533.4721221228,38405500.0,76.0
370630017081,147853.0,3404.0,232000.0,160000.0,49951.93512768049,24691531.0,167.0
370630017091,68220.0,14500.0,137000.0,59000.0,33915.42069619659,2797050.0,41.0
370630017092,87278.0,1600.0,675000.0,73000.0,91308.32299412797,4538506.0,52.0
370630017093,180301.0,4500.0,636000.0,126000.0,170351.0124742439,10096900.0,56.0
370630017101,172300.0,25000.0,631000.0,172000.0,59543.96771294301,20159205.0,117.0
370630017102,125689.0,22000.0,202500.0,132000.0,40072.54421670778,4650525.0,37.0
370630017111,132000.0,85000.0,199000.0,132500.0,31773.678823831528,2112000.0,16.0
370630017112,177714.0,115000.0,222000.0,172500.0,36526.08329673468,1244000.0,7.0
370630017113,192862.0,55000.0,800000.0,122850.0,216864.35287985898,1928622.0,10.0
370630018011,146259.0,25000.0,350000.0,150000.0,48084.11791849779,16381083.0,112.0
370630018012,122786.0,4000.0,301000.0,116000.0,79275.456466677,6507674.0,53.0
370630018013,125890.0,15000.0,252000.0,128000.0,48389.44608073128,13218524.0,105.0
370630018014,182304.0,2000.0,476000.0,143000.0,115813.6385750832,26434190.0,145.0
370630018015,165871.0,42500.0,325000.0,146000.0,97291.99217304577,2156324.0,13.0
370630018021,119173.0,16500.0,205000.0,122250.0,45026.55663050418,7150400.0,60.0
370630018022,204645.0,22000.0,1053000.0,112500.0,288095.7940668347,6344000.0,31.0
370630018023,105904.0,10000.0,243000.0,109750.0,46545.37575312933,8895992.0,84.0
370630018024,82153.0,13500.0,149000.0,90000.0,39317.95221015459,3368277.0,41.0
370630018061,157383.0,22500.0,816000.0,134000.0,144136.96109950423,8813500.0,56.0
370630018062,194889.0,2320.0,416000.0,189000.0,71784.23340121422,77955743.0,400.0
370630018071,155276.0,500.0,266000.0,170000.0,58874.23934965105,13043262.0,84.0
370630018072,168102.0,500.0,355000.0,165000.0,53080.10436123878,28913648.0,172.0
370630018073,146364.0,4500.0,210500.0,148000.0,30880.541170776138,24735648.0,169.0
370630018081,196742.0,3000.0,333000.0,200000.0,63076.262777688404,21051500.0,107.0
370630018082,425785.0,2428.0,2075000.0,299000.0,386825.3007095063,570978774.0,1341.0
370630018091,243735.0,40000.0,1300000.0,170000.0,270615.6110574554,13161716.0,54.0
370630018092,213695.0,4308.0,308000.0,224250.0,53649.23934223113,26070808.0,122.0
370630019001,381927.0,120000.0,586500.0,376000.0,84101.15533689178,228010500.0,597.0
370630019002,223400.0,2000.0,665000.0,205500.0,93812.70495513921,24574008.0,110.0
370630020071,238435.0,45000.0,499500.0,243000.0,108436.47015188202,25989500.0,109.0
370630020072,263977.0,9000.0,1100000.0,219000.0,183197.2035812774,17686500.0,67.0
370630020073,263559.0,1000.0,950000.0,212000.0,194296.82883670542,9488140.0,36.0
370630020081,656176.0,295000.0,1650000.0,550000.0,333425.9111631848,33465000.0,51.0
370630020082,459959.0,105000.0,1400000.0,385000.0,255794.4175798213,45536000.0,99.0
370630020091,92392.0,33500.0,193000.0,90000.0,39379.588773881325,5820725.0,63.0
370630020092,98715.0,19500.0,245000.0,101250.0,53284.46895672321,4540904.0,46.0
370630020093,98451.0,10000.0,800000.0,85000.0,96181.67278645137,6202455.0,63.0
370630020131,207730.0,22500.0,380000.0,198500.0,78695.20834841217,12048386.0,58.0
370630020132,187166.0,52000.0,631000.0,189500.0,78835.15883791952,8984000.0,48.0
370630020133,213341.0,2194.0,300000.0,220000.0,53685.54580145386,27307694.0,128.0
370630020151,195155.0,2000.0,360000.0,205000.0,74681.87900689163,14441500.0,74.0
370630020152,275672.0,90000.0,790000.0,207000.0,147390.957019079,7994500.0,29.0
370630020153,nan,nan,nan,nan,nan,nan,nan
370630020161,nan,nan,nan,nan,nan,nan,nan
370630020162,255729.0,56500.0,619000.0,222500.0,149399.08467925765,6137500.0,24.0
370630020171,375659.0,13000.0,1250000.0,352500.0,174396.9714071893,43576501.0,116.0
370630020172,418841.0,150000.0,3209000.0,345500.0,384269.9604067432,25130500.0,60.0
370630020173,314875.0,137500.0,509000.0,336000.0,84800.0444280544,22671000.0,72.0
370630020181,551629.0,95000.0,3350000.0,482000.0,466865.3263104897,42475500.0,77.0
370630020182,296073.0,120000.0,470000.0,249000.0,108453.93527207761,12435099.0,42.0
