geoid00,meansp9800,minsp9800,maxsp9800,mediansp9800,stddevsp9800,totsp9800,nums9800
370630015021,55928.0,33000.0,81000.0,53000.0,18249.26612223078,391500.0,7.0
370630003012,54951.0,6500.0,235000.0,56000.0,42183.80056372351,3407000.0,62.0
370630013011,54818.0,500.0,112000.0,65000.0,28238.049401472475,1260832.0,23.0
370630002003,115095.0,12000.0,240000.0,113000.0,44646.05206510425,7941564.0,69.0
370630011001,43179.0,300.0,192000.0,35000.0,33820.4548904949,3108959.0,72.0
370630017053,106507.0,24000.0,200000.0,101000.0,42629.257828397625,7349000.0,69.0
370630005003,40895.0,1000.0,138000.0,37000.0,31594.915366242083,981500.0,24.0
370630010022,71657.0,25000.0,150000.0,77500.0,25609.4929274283,2293025.0,32.0
370630021001,307327.0,12000.0,1575000.0,200750.0,331949.0406568454,49787000.0,162.0
370630021003,157774.0,18000.0,395000.0,176250.0,94701.37176408798,9782000.0,62.0
370630021002,142951.0,18500.0,380000.0,142750.0,110639.88531718568,10292500.0,72.0
370630016034,214165.0,12000.0,466000.0,237000.0,117716.04658669098,36194000.0,169.0
370630016011,166277.0,22500.0,332500.0,135000.0,79638.14152150965,7482500.0,45.0
370630016033,112544.0,6000.0,163000.0,123500.0,38062.34109983252,5289579.0,47.0
370630015011,nan,nan,nan,nan,nan,nan,nan
370630016043,162999.0,20000.0,408000.0,140500.0,80736.79469733735,17766994.0,109.0
370630002002,71669.0,7500.0,142000.0,71000.0,34411.26719549863,2795110.0,39.0
370630016013,119472.0,9000.0,235000.0,123500.0,43639.08949554287,10991500.0,92.0
370630016032,137426.0,17000.0,299000.0,135000.0,57576.23140671852,31058500.0,226.0
370630016042,213303.0,22000.0,750000.0,179500.0,155284.11901092783,46073500.0,216.0
370630008021,63352.0,4500.0,250000.0,61250.0,51325.474649534415,1900582.0,30.0
370630018015,96289.0,18000.0,285000.0,48500.0,82941.46459401352,1829500.0,19.0
370630016012,152488.0,12500.0,344000.0,142500.0,73704.44528656328,72889500.0,478.0
370630016041,179931.0,25000.0,516000.0,152500.0,107335.09613355737,26270000.0,146.0
370630016031,116878.0,21500.0,185000.0,125500.0,36819.029957346786,7012731.0,60.0
370630017081,95125.0,17000.0,230000.0,96750.0,35425.710677416195,5707521.0,60.0
370630017101,128656.0,80000.0,280000.0,122000.0,36194.67989912329,6175500.0,48.0
370630017071,186311.0,12000.0,821000.0,151000.0,149664.88011888426,43038000.0,231.0
370630017093,76651.0,13000.0,132000.0,79000.0,26760.51970721047,3296000.0,43.0
370630017111,107482.0,85000.0,147500.0,105500.0,17378.93687772644,3009500.0,28.0
370630018041,88137.0,18500.0,138000.0,105000.0,38927.27416606511,4759437.0,54.0
370630018013,82086.0,5350.0,114000.0,85750.0,21066.454780052576,9193644.0,112.0
370630017113,98666.0,94000.0,105000.0,97000.0,5686.240673766808,296000.0,3.0
370630017072,158951.0,20000.0,346500.0,156000.0,75021.42268712318,29565000.0,186.0
370630017112,122766.0,93600.0,139000.0,126000.0,17053.05444781081,736600.0,6.0
370630017102,106049.0,22000.0,136000.0,113000.0,23356.210073554314,5408500.0,51.0
370630018014,62181.0,8000.0,124500.0,64750.0,34329.82371058727,1368000.0,22.0
370630017091,60993.0,2000.0,116000.0,72000.0,25929.753045488113,2561714.0,42.0
370630017051,113557.0,22000.0,177500.0,118500.0,25141.25770521435,9993038.0,88.0
370630019002,130857.0,500.0,332000.0,122000.0,90956.78990597678,5496000.0,42.0
370630017052,198951.0,3000.0,735000.0,120000.0,146406.2926448177,18303500.0,92.0
370630001021,90109.0,14000.0,270000.0,90000.0,25920.913043332406,17301000.0,192.0
370630018011,103331.0,6000.0,180000.0,115000.0,33801.368507798616,12709725.0,123.0
370630017092,81209.0,6000.0,240000.0,78000.0,48150.60074391596,4547744.0,56.0
370630001012,75292.0,5000.0,326000.0,77250.0,44149.899841335995,7981000.0,106.0
370630017073,109968.0,20000.0,154000.0,119000.0,29344.152313535997,3958864.0,36.0
370630018043,123980.0,19000.0,519000.0,119000.0,51750.33407621636,50708118.0,409.0
370630001011,76325.0,12500.0,138000.0,80500.0,22992.232579721353,7479935.0,98.0
370630017061,236172.0,20000.0,545500.0,187500.0,125487.25732918063,47234500.0,200.0
370630018044,98790.0,22500.0,175000.0,100250.0,29240.88037320354,6125000.0,62.0
370630004011,107317.0,20000.0,235000.0,99500.0,40238.70740965718,8585378.0,80.0
370630018023,62842.0,8500.0,105000.0,69500.0,28062.410801639977,3770575.0,60.0
370630004013,137278.0,15500.0,368000.0,135000.0,65486.1642181003,8374000.0,61.0
370630003011,72045.0,10500.0,140000.0,71000.0,29130.461822635083,2377500.0,33.0
370630004021,95671.0,25000.0,157000.0,93750.0,33280.698760693114,6123000.0,64.0
370630020171,214602.0,12000.0,657000.0,207000.0,90947.91788710724,43993500.0,205.0
370630020152,139730.0,10000.0,330000.0,127750.0,59351.02138969472,7266000.0,52.0
370630004012,143894.0,16000.0,240000.0,150500.0,39843.346408152014,10216500.0,71.0
