id,mean_sfno100517,tot_sfno100517,num_sfno100517,mean_sfoo100517,tot_sfoo100517,num_sfoo100517,prc_sfno100517
370630001011,113320.41,2493049.00,22,131811.19,44156750.00,335,6.16
370630001012,94385.38,2265249.00,24,111086.86,46989742.00,423,5.37
370630001021,126377.45,1390152.00,11,145806.21,48261856.00,331,3.22
370630001022,127027.20,3175680.00,25,145069.79,57302566.00,395,5.95
370630002001,147285.20,1472852.00,10,196170.88,33349049.00,170,5.56
370630002002,149806.00,1947478.00,13,208266.22,29782070.00,143,8.33
370630002003,181789.73,2726846.00,15,288738.00,73916927.00,256,5.54
370630003011,105497.35,2426439.00,23,151766.58,17301390.00,114,16.79
370630003012,117893.20,1768398.00,15,174181.07,20553366.00,118,11.28
370630003013,212958.31,2768458.00,13,373561.15,38476798.00,103,11.21
370630003021,255246.57,1786726.00,7,321495.32,97091588.00,302,2.27
370630003022,249018.12,4233308.00,17,323024.49,58144409.00,180,8.63
370630003023,418659.86,2930619.00,7,488122.00,103969985.00,213,3.18
370630004011,188504.69,2450561.00,13,213234.43,67595314.00,317,3.94
370630004012,261761.00,785283.00,3,320967.67,104956427.00,327,0.91
370630004013,250886.22,2257976.00,9,342491.98,72950792.00,213,4.05
370630004021,173893.81,4521239.00,26,266931.20,64063489.00,240,9.77
370630005001,108724.00,217448.00,2,188815.67,566447.00,3,40.0
370630005002,164143.82,1805582.00,11,226621.70,17903114.00,79,12.22
370630005003,124520.93,1867814.00,15,162162.80,14108164.00,87,14.71
370630005004,115746.31,1504702.00,13,130231.51,16669633.00,128,9.22
370630006001,192450.24,9622512.00,50,227014.12,111236920.00,490,9.26
370630006002,208882.47,3133237.00,15,294373.91,93022156.00,316,4.53
370630006003,NaN,NaN,NaN,465869.12,93639693.00,201,NaN
370630007001,147755.14,1034286.00,7,294556.59,24153640.00,82,7.87
370630007002,199238.00,1992380.00,10,383162.88,135639659.00,354,2.75
370630007003,248073.25,1984586.00,8,311719.67,103179210.00,331,2.36
370630009001,59260.53,1007429.00,17,76625.30,4674143.00,61,21.79
370630009002,125059.18,2751302.00,22,135981.36,14550005.00,107,17.05
370630010011,66707.82,733786.00,11,88035.87,11092520.00,126,8.03
370630010012,70265.14,1545833.00,22,80135.18,11779872.00,147,13.02
370630010013,59083.74,1595261.00,27,75222.36,14894027.00,198,12.0
370630010021,75387.27,1960069.00,26,91745.87,22477739.00,245,9.59
370630010022,72134.79,1009887.00,14,83963.16,8228390.00,98,12.5
370630010023,75855.00,1061970.00,14,77825.06,5525579.00,71,16.47
370630010024,60704.47,910567.00,15,75411.15,7164059.00,95,13.64
370630011001,134996.14,1889946.00,14,188652.18,25468044.00,135,9.4
370630011002,80613.00,322452.00,4,84590.42,6428872.00,76,5.0
370630013011,59670.22,2685160.00,45,71960.27,10362279.00,144,23.81
370630013031,74912.50,2547025.00,34,90535.24,15390990.00,170,16.67
370630013032,78713.56,1259417.00,16,97604.80,12493415.00,128,11.11
370630013041,87118.15,2962017.00,34,97659.20,28711805.00,294,10.37
370630014001,61944.10,619441.00,10,75462.75,6263408.00,83,10.75
370630014002,59396.23,2554038.00,43,58934.79,6836436.00,116,27.04
370630015011,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630015021,115871.50,463486.00,4,106320.30,5316015.00,50,7.41
370630015022,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630015023,105884.00,211768.00,2,94981.00,94981.00,1,66.67
370630015024,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630015031,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630016011,157956.06,2527297.00,16,232846.55,88481688.00,380,4.04
370630016012,142762.56,5139452.00,36,178559.99,176774390.00,990,3.51
370630016013,139439.07,3904294.00,28,156582.92,89095684.00,569,4.69
370630016031,148877.70,1488777.00,10,162306.71,37492850.00,231,4.15
370630016032,166190.88,1329527.00,8,201829.81,208490189.00,1033,0.77
370630016033,183465.36,2018119.00,11,149905.75,57263997.00,382,2.8
370630016034,239728.75,1917830.00,8,262697.90,141856864.00,540,1.46
370630016041,164236.24,2792016.00,17,225133.61,152640588.00,678,2.45
370630016042,218152.68,4799359.00,22,249037.86,241815764.00,971,2.22
370630016043,185948.40,929742.00,5,233131.61,114700752.00,492,1.01
370630017051,129194.81,2713091.00,21,145286.06,79326187.00,546,3.7
370630017052,142300.92,1849912.00,13,298554.71,123303097.00,413,3.05
370630017053,97911.79,1860324.00,19,122814.86,31317789.00,255,6.93
370630017061,174559.80,872799.00,5,295615.59,96961913.00,328,1.5
370630017062,139582.40,1395824.00,10,232754.56,54930076.00,236,4.07
370630017071,197431.82,2171750.00,11,241663.13,97148579.00,402,2.66
370630017072,184301.60,3686032.00,20,220081.37,108940279.00,495,3.88
370630017073,200084.75,800339.00,4,251033.34,58239736.00,232,1.69
370630017074,172883.50,4494971.00,26,226989.46,147316162.00,649,3.85
370630017075,863310.60,4316553.00,5,644484.76,192056457.00,298,1.65
370630017081,129582.67,6349551.00,49,141921.75,140928300.00,993,4.7
370630017091,77907.83,1791880.00,23,84937.12,14609184.00,172,11.79
370630017092,72145.27,1082179.00,15,80845.30,13420319.00,166,8.29
370630017093,74583.56,1864589.00,25,118012.71,27378949.00,232,9.73
370630017101,130718.78,1176469.00,9,154612.27,91530462.00,592,1.5
370630017102,128582.75,1028662.00,8,130766.90,29422552.00,225,3.43
370630017111,157465.00,1259720.00,8,141401.77,19372043.00,137,5.52
370630017112,112341.00,112341.00,1,156110.61,5932203.00,38,2.56
370630017113,105031.00,105031.00,1,129380.59,2846373.00,22,4.35
370630018011,113742.28,2047361.00,18,139522.39,86224835.00,618,2.83
370630018012,90925.15,1818503.00,20,126888.71,21444192.00,169,10.58
370630018013,93886.16,3004357.00,32,125016.94,98763382.00,790,3.89
370630018014,84285.14,1179992.00,14,116722.78,37001121.00,317,4.23
370630018015,163241.08,1958893.00,12,181500.41,24502555.00,135,8.16
370630018021,92562.05,2036365.00,22,119550.70,57384334.00,480,4.38
370630018022,97412.67,1168952.00,12,104887.95,24963331.00,238,4.8
370630018023,95952.92,2494776.00,26,106438.75,46087978.00,433,5.66
370630018024,74368.59,1264266.00,17,96552.95,18345061.00,190,8.21
370630018061,121272.90,2546731.00,21,148277.61,61683487.00,416,4.81
370630018062,143026.33,6150132.00,43,161016.84,213830366.00,1328,3.14
370630018071,109325.83,2514494.00,23,142317.32,70020122.00,492,4.47
370630018072,140120.30,5604812.00,40,161450.86,176627241.00,1094,3.53
370630018073,138144.03,4696897.00,34,144479.23,126130370.00,873,3.75
370630018081,136032.70,2720654.00,20,193473.93,134077434.00,693,2.81
370630018082,210089.59,9243942.00,44,245467.03,569974448.00,2322,1.86
370630018091,124310.79,2983459.00,24,136456.37,35205743.00,258,8.51
370630018092,157298.88,2516782.00,16,205310.57,146386438.00,713,2.19
370630019001,275700.86,1929906.00,7,334419.79,289607535.00,866,0.8
370630019002,168364.58,2020375.00,12,229340.67,126596048.00,552,2.13
370630020071,186009.35,3720187.00,20,225886.66,123785888.00,548,3.52
