id,meansp9800,minsp9800,maxsp9800,mediansp9800,stddevsp9800,totsp9800,nums9800,mhi99,pir9800,mgr_phi99,mmoc_phi99
370630017092,81209.0,6000.0,240000.0,78000.0,48150.600743915966,4547744.0,56.0,40893.0,1.9074169173208129,24.8,22.9
370630001012,75292.0,5000.0,326000.0,77250.0,44149.899841335995,7981000.0,106.0,29167.0,2.6485411595296053,21.8,24.3
370630017073,109968.0,20000.0,154000.0,119000.0,29344.152313536,3958864.0,36.0,48672.0,2.444937541091387,23.9,16.9
370630018043,123980.0,19000.0,519000.0,119000.0,51750.334076216364,50708118.0,409.0,53091.0,2.2414345180915785,37.2,22.8
370630001011,76325.0,12500.0,138000.0,80500.0,22992.232579721356,7479935.0,98.0,35385.0,2.274975272007913,25.5,20.8
370630017061,236172.0,20000.0,545500.0,187500.0,125487.25732918065,47234500.0,200.0,42398.0,4.422378414076135,26.5,21.5
370630018044,98790.0,22500.0,175000.0,100250.0,29240.880373203534,6125000.0,62.0,37372.0,2.6824895643797495,27.5,19.2
370630004011,107317.0,20000.0,235000.0,99500.0,40238.70740965718,8585378.0,80.0,45132.0,2.204644154923336,41.3,16.4
370630018023,62842.0,8500.0,105000.0,69500.0,28062.410801639977,3770575.0,60.0,26700.0,2.602996254681648,19.4,36.0
370630004013,137278.0,15500.0,368000.0,135000.0,65486.164218100304,8374000.0,61.0,46625.0,2.89544235924933,21.8,17.8
370630003011,72045.0,10500.0,140000.0,71000.0,29130.461822635083,2377500.0,33.0,28083.0,2.5282199195242674,25.4,21.5
370630004021,95671.0,25000.0,157000.0,93750.0,33280.698760693114,6123000.0,64.0,26781.0,3.5006161084350844,29.6,22.5
370630020171,214602.0,12000.0,657000.0,207000.0,90947.91788710725,43993500.0,205.0,82212.0,2.5178806013720623,35.3,16.8
370630020152,139730.0,10000.0,330000.0,127750.0,59351.021389694724,7266000.0,52.0,30291.0,4.21742431745403,27.7,18.6
370630004012,143894.0,16000.0,240000.0,150500.0,39843.346408152014,10216500.0,71.0,50263.0,2.994250243718043,27.2,16.2
370630015022,73125.0,62000.0,81500.0,74500.0,8370.334521391604,292500.0,4.0,20680.0,3.602514506769826,27.3,27.5
370630018012,94936.0,15000.0,162000.0,104000.0,37408.383298399836,4462000.0,47.0,42404.0,2.4525988114328836,32.6,22.3
370630003021,135119.0,2000.0,335000.0,130000.0,53391.215475956335,9053000.0,67.0,56010.0,2.321014104624174,27.9,15.3
370630002001,92604.0,17500.0,167000.0,94000.0,36162.09507205024,3982000.0,43.0,36250.0,2.593103448275862,27.2,20.0
370630003013,113465.0,15000.0,410500.0,80000.0,86662.3242303136,3517442.0,31.0,27708.0,2.8872527789807996,25.0,22.2
370630003022,130188.0,12500.0,280000.0,122000.0,46227.732823490274,5858500.0,45.0,29917.0,4.077948992211786,31.4,19.8
370630003023,189975.0,10300.0,525000.0,178000.0,109384.4864366058,10448659.0,55.0,31961.0,5.569287569224993,30.7,18.8
370630015031,95000.0,90000.0,100000.0,95000.0,7071.067811865475,190000.0,2.0,8750.0,10.857142857142858,50.0,0.0
370630005001,,,,,,,,11151.0,,50.0,10.0
370630010021,67146.0,15000.0,131000.0,71500.0,22713.704145295196,3894500.0,58.0,24726.0,2.891692954784437,27.1,18.2
370630018021,89572.0,10000.0,152000.0,93500.0,31085.941967390987,14779388.0,165.0,40477.0,2.3099538009239815,23.2,20.9
370630005002,78236.0,47000.0,200000.0,80000.0,34863.769962527,1486500.0,19.0,26688.0,2.997601918465228,27.0,21.0
370630018042,130265.0,17000.0,313000.0,127000.0,44506.31801216542,36734998.0,282.0,60400.0,2.1026490066225167,24.3,20.5
370630009001,32833.0,5000.0,75000.0,17500.0,26822.94890574114,591000.0,18.0,20086.0,0.8712536094792392,25.4,24.0
370630009002,41861.0,4065.0,138000.0,36500.0,29186.209586035664,1590754.0,38.0,18036.0,2.0237303171434906,29.9,35.3
370630010024,49734.0,17000.0,85000.0,46750.0,17772.701876754698,1989364.0,40.0,23420.0,1.9961571306575576,24.6,23.6
370630007001,122800.0,17000.0,360000.0,92500.0,90929.8787912972,1842000.0,15.0,11197.0,8.261141377154596,28.7,25.0
370630008011,,,,,,,,,,,
