id,mean_sfno011818,tot_sfno011818,num_sfno011818,mean_sfoo011818,tot_sfoo011818,num_sfoo011818,prc_sfno011818
370630017113,105031.00,105031.00,1,129380.59,2846373.00,22,4.35
370630018011,114249.89,2056498.00,18,139582.78,86541321.00,620,2.82
370630018012,90925.15,1818503.00,20,125677.42,21365161.00,170,10.53
370630018013,94469.78,3023033.00,32,124943.14,98830027.00,791,3.89
370630018014,85157.27,1277359.00,15,116771.61,36899828.00,316,4.53
370630018015,163241.08,1958893.00,12,181573.49,24149274.00,133,8.28
370630018021,92562.05,2036365.00,22,119271.82,57250473.00,480,4.38
370630018022,97871.75,1174461.00,12,104653.36,25012152.00,239,4.78
370630018023,95952.92,2494776.00,26,106566.15,46249708.00,434,5.65
370630018024,74368.59,1264266.00,17,96476.45,18523478.00,192,8.13
370630018061,120182.20,2403644.00,20,148210.92,61655742.00,416,4.59
370630018062,122198.27,6232112.00,51,159148.73,215169081.00,1352,3.64
370630018071,110152.00,2533496.00,23,142125.06,69357028.00,488,4.5
370630018072,140207.05,5608282.00,40,161560.58,176424148.00,1092,3.53
370630018073,137283.75,4393080.00,32,144451.90,125817603.00,871,3.54
370630018081,135031.10,2835653.00,21,193304.00,134346282.00,695,2.93
370630018082,186197.45,9123675.00,49,233764.92,575763003.00,2463,1.95
370630018091,124310.79,2983459.00,24,136358.22,35453138.00,260,8.45
370630018092,160141.44,2562263.00,16,205051.11,147636796.00,720,2.17
370630019001,149047.20,2235708.00,15,282883.41,305796970.00,1081,1.37
370630019002,172419.27,1896612.00,11,228863.86,126790579.00,554,1.95
370630020071,189749.75,3794995.00,20,225179.79,124299243.00,552,3.5
370630020072,231416.50,1851332.00,8,278378.02,132507937.00,476,1.65
370630020073,204465.31,2658049.00,13,229473.39,66776757.00,291,4.28
370630020081,536737.22,4830635.00,9,655242.94,232611244.00,355,2.47
370630020082,389489.67,4673876.00,12,440001.59,315921144.00,718,1.64
370630020091,96181.35,3270166.00,34,106857.12,47871990.00,448,7.05
370630020092,95383.16,1812280.00,19,111916.50,29322122.00,262,6.76
370630020093,92085.15,3591321.00,39,103908.03,49668037.00,478,7.54
370630020131,201791.55,2219707.00,11,195243.02,76535262.00,392,2.73
370630020132,146178.25,1754139.00,12,153506.57,42367814.00,276,4.17
370630020133,158462.00,2693854.00,17,195126.72,139125348.00,713,2.33
370630020151,171543.20,1715432.00,10,189931.59,60588177.00,319,3.04
370630020152,329229.00,1316916.00,4,254350.24,35100333.00,138,2.82
370630020153,162983.50,325967.00,2,205137.13,1641097.00,8,20.0
370630020161,NaN,NaN,NaN,266111.50,532223.00,2,NaN
370630020162,240997.50,2891970.00,12,231475.14,16203260.00,70,14.63
370630020171,290262.59,6385777.00,22,355261.40,294156442.00,828,2.59
370630020172,251015.64,2761172.00,11,364276.11,145710444.00,400,2.68
370630020173,287580.00,3163380.00,11,324120.69,184100552.00,568,1.9
370630020181,396580.82,6741874.00,17,488943.14,268918728.00,550,3.0
370630020182,247063.67,2223573.00,9,274333.34,79282336.00,289,3.02
370630020183,257383.13,3860747.00,15,310936.48,287305312.00,924,1.6
370630020191,577537.00,577537.00,1,552284.86,61855904.00,112,0.88
370630020192,281903.12,4792353.00,17,408493.23,89460017.00,219,7.2
370630020193,291668.20,4375023.00,15,317695.81,145822377.00,459,3.16
370630020201,469457.33,4225116.00,9,329184.47,209032138.00,635,1.4
370630020202,288610.00,2886100.00,10,338092.62,622428514.00,1841,0.54
370630020211,210610.47,3159157.00,15,257062.43,87915351.00,342,4.2
370630020212,241805.25,1934442.00,8,276751.52,71125140.00,257,3.02
370630020221,159810.67,479432.00,3,180947.10,38541732.00,213,1.39
370630020222,200017.77,2600231.00,13,231996.44,136413907.00,588,2.16
370630020231,167338.67,502016.00,3,236046.89,63260567.00,268,1.11
370630020232,268391.00,1610346.00,6,253861.91,80981948.00,319,1.85
370630020241,217538.52,6308617.00,29,257976.91,333048189.00,1291,2.2
370630020242,177178.25,708713.00,4,210816.53,33098195.00,157,2.48
370630020243,233333.00,233333.00,1,239156.26,36351751.00,152,0.65
370630020251,171194.83,3937481.00,23,206999.01,166427207.00,804,2.78
370630020252,162531.55,1787847.00,11,199379.28,104674120.00,525,2.05
370630020253,153920.44,1385284.00,9,162639.48,57574376.00,354,2.48
370630020261,112177.29,1570482.00,14,133395.56,53758409.00,403,3.36
370630020262,146606.13,2345698.00,16,170702.00,54453937.00,319,4.78
370630020271,96436.54,2700223.00,28,163706.51,99042439.00,605,4.42
370630020272,153168.18,1684850.00,11,209952.85,115893975.00,552,1.95
370630020273,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630020281,187300.05,3746001.00,20,202554.16,180678315.00,892,2.19
370630020282,532833.00,532833.00,1,428101.08,42382007.00,99,1.0
370630020283,131811.92,1581743.00,12,243070.47,57850771.00,238,4.8
370630021001,364186.53,5462798.00,15,367493.10,231520655.00,630,2.33
370630021002,248506.33,2982076.00,12,251764.08,85851551.00,341,3.4
370630021003,261952.72,4715149.00,18,261013.75,81697304.00,313,5.44
370630022001,129730.57,1816228.00,14,286290.08,28056428.00,98,12.5
370630023001,60304.00,241216.00,4,169194.44,19118972.00,113,3.42
370630023002,127404.00,127404.00,1,63421.22,570791.00,9,10.0
370639801001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
