geoid00,gr,mgr,agr,agr_mir,agr_us,b_gr,gr_phi99,mgr_phi99,ah_gr_phi99,ui_gr_phi99,hi_gr_phi99,igr,crgr00
370630018041,92,705,47500,47500,47500,92,92,22.5,92,92,92,92,92
370630018042,50,934,42600,42600,42600,50,50,24.3,50,50,50,50,50
370630018043,106,725,68600,68600,68600,106,106,37.2,106,106,106,106,106
370630018044,240,619,137100,137100,137100,240,240,27.5,240,240,240,240,240
370630018051,238,672,161700,161700,161700,238,238,22.9,238,238,238,238,238
370630018052,314,755,234000,234000,234000,314,314,23.6,314,314,314,314,314
370630018053,107,592,60900,60900,60900,107,107,15.5,107,107,107,107,107
370630018054,40,563,19300,19300,19300,40,40,37.5,40,40,40,40,40
370630019001,70,532,34000,34000,34000,70,70,23.4,70,70,70,70,70
370630019002,31,208,6200,6200,6200,31,31,30.8,31,31,31,31,31
370630020071,61,661,32000,32000,32000,61,61,20.8,61,61,61,61,61
370630020072,343,804,274000,274000,274000,343,343,23.4,343,343,343,343,343
370630020073,34,1163,40500,40500,40500,34,34,25.3,34,34,34,34,34
370630020081,12,675,8500,8500,8500,12,12,22.5,12,12,12,12,12
370630020082,38,1092,40700,40700,40700,38,38,17.7,38,38,38,38,38
370630020091,180,621,98300,98300,98300,180,180,32.5,180,180,180,180,180
370630020092,155,580,87700,87700,87700,155,155,24.0,155,155,155,155,155
370630020093,117,723,74200,74200,74200,117,117,27.8,117,117,117,117,117
370630020101,286,670,181800,181800,181800,286,286,25.5,286,286,286,286,286
370630020102,635,783,507700,507700,507700,635,635,22.7,635,635,635,635,635
370630020103,99,698,62800,62800,62800,99,99,43.8,99,99,99,99,99
370630020111,635,786,519900,519900,519900,635,635,24.7,635,635,635,635,635
370630020112,394,847,327700,327700,327700,394,394,21.1,394,394,394,394,394
370630020113,69,1399,92500,92500,92500,69,69,21.9,69,69,69,69,69
370630020121,514,973,486200,486200,486200,514,514,24.0,514,514,514,514,514
370630020122,1027,803,834500,834500,834500,1027,1027,22.0,1027,1027,1027,1027,1027
370630020123,1310,818,1100800,1100800,1100800,1310,1310,23.6,1310,1310,1310,1310,1310
370630020124,38,833,47100,47100,47100,38,38,18.9,38,38,38,38,38
370630020131,85,939,79700,79700,79700,85,85,18.8,85,85,85,85,85
370630020132,103,693,69100,69100,69100,103,103,23.0,103,103,103,103,103
370630020133,84,1054,84400,84400,84400,84,84,28.5,84,84,84,84,84
370630020141,898,830,748100,748100,748100,898,898,22.0,898,898,898,898,898
370630020142,274,709,198500,198500,198500,274,274,21.0,274,274,274,274,274
370630020143,485,973,473600,473600,473600,485,485,20.2,485,485,485,485,485
370630020151,987,759,995700,995700,995700,987,987,24.7,987,987,987,987,987
370630020152,919,736,648500,648500,648500,919,919,27.7,919,919,919,919,919
370630020161,1724,712,1244400,1244400,1244400,1724,1724,26.1,1724,1724,1724,1724,1724
370630020171,297,1075,315500,315500,315500,297,297,35.3,297,297,297,297,297
370630020172,84,730,54000,54000,54000,84,84,36.4,84,84,84,84,84
370630020181,280,764,253300,253300,253300,280,280,28.8,280,280,280,280,280
370630020182,569,927,523200,523200,523200,569,569,26.6,569,569,569,569,569
370630021001,50,613,42300,42300,42300,50,50,13.8,50,50,50,50,50
370630021002,139,816,88400,88400,88400,139,139,19.1,139,139,139,139,139
370630021003,75,479,31700,31700,31700,75,75,13.6,75,75,75,75,75
