id,meansp1314,meansp1314a17,minsp1314,minsp1314a17,maxsp1314,maxsp1314a17,mediansp1314,mediansp1314a17,stddevsp1314,stddevsp1314a17,totsp1314,totsp1314a17,nums1314,mhi1314,mhi1314a17,pir1314,mean_sfno100517,tot_sfno100517,num_sfno100517,mean_sfoo100517,tot_sfoo100517,num_sfoo100517,prc_sfno100517,pop13,pop14,ptwhnl13,ptwhnl14,ptblknl13,ptblknl14,ptasnl13,ptasnl14,ptothnl13,ptothnl14,ptlat13,ptlat14,meansp1517,meansp1517a17,minsp1517,minsp1517a17,maxsp1517,maxsp1517a17,mediansp1517,mediansp1517a17,stddevsp1517,stddevsp1517a17,totsp1517,totsp1517a17,nums1517,mhi16,mhi16a17,pir1517,mgr_phi16,mmoc_phi16,mean_sfno011818,tot_sfno011818,num_sfno011818,mean_sfoo011818,tot_sfoo011818,num_sfoo011818,prc_sfno011818,pop16,ptwhnl16,ptblknl16,ptnanl16,ptasnl16,ptpanl16,ptothnl16,pt2mnl16,ptlat16
370630003021,283666.00,292160.53,13000.00,13389.29,645000.00,664314.86,260000.00,267785.84,129134.62,133001.62,12765000.00,13147254.59,45.00,75859.50,78131.15,3.43,255246.57,1786726.00,7.00,321495.32,97091588.00,302.00,2.27,779,779,77.70,77.70,10.00,10.00,2.30,2.30,3.00,3.00,7.10,7.10,302646.00,308842.20,5000.00,5102.37,680000.00,693921.92,300000.00,306142.02,117205.41,119605.00,19672000.00,20074753.03,65.00,74554.00,76080.38,4.02,21.70,22.10,253532.25,2028258.00,8.00,321017.25,96947209.00,302.00,2.58,849,75.38,13.07,0.00,6.83,0.00,0.00,0.00,4.71
370630003022,308214.00,317443.63,50000.00,51497.28,650000.00,669464.59,265000.00,272935.56,159488.68,164264.65,6472500.00,6666322.39,21.00,43954.00,45270.23,6.03,249018.12,4233308.00,17.00,323024.49,58144409.00,180.00,8.63,1114,1114,50.40,50.40,15.60,15.60,2.40,2.40,2.30,2.30,29.20,29.20,266551.00,272008.21,7500.00,7653.55,535000.00,545953.28,280000.00,285732.56,143085.04,146014.48,7730000.00,7888259.50,29.00,59583.00,60802.87,4.70,30.00,17.10,249018.12,4233308.00,17.00,323317.69,58197184.00,180.00,8.63,1206,58.21,18.08,0.00,0.00,0.00,0.00,5.64,18.08
370630003023,500928.00,515928.55,32000.00,32958.26,800000.00,823956.42,487000.00,501583.47,237618.83,244734.45,10519500.00,10834511.92,21.00,26316.50,27104.56,18.51,418659.86,2930619.00,7.00,488122.00,103969985.00,213.00,3.18,1533,1533,58.10,58.10,15.90,15.90,2.60,2.60,3.10,3.10,20.40,20.40,581525.00,593430.80,77500.00,79086.69,1425000.00,1454174.62,566250.00,577843.07,359326.84,366683.48,11630500.00,11868616.06,20.00,34805.00,35517.58,16.27,28.30,16.50,392608.88,3140871.00,8.00,487579.95,104342110.00,214.00,3.60,1538,58.19,7.54,0.00,5.72,0.00,0.00,2.93,25.62
370630004011,166742.00,171735.18,35000.00,36048.09,291000.00,299714.15,170000.00,175090.74,69418.19,71496.96,8670607.00,8930252.85,52.00,56005.50,57682.61,3.04,188504.69,2450561.00,13.00,213234.43,67595314.00,317.00,3.94,898,898,70.00,70.00,13.60,13.60,1.80,1.80,3.30,3.30,11.20,11.20,260519.00,265852.71,46000.00,46941.78,800000.00,816378.73,242500.00,247464.80,143579.73,146519.30,20320500.00,20736530.04,78.00,64453.00,65772.57,3.76,27.80,14.60,190192.23,2472499.00,13.00,212625.43,67827513.00,319.00,3.92,789,87.71,1.01,0.00,0.00,0.00,0.00,1.14,10.14
370630004012,310214.00,319503.52,107000.00,110204.17,823000.00,847645.16,280000.00,288384.75,123788.50,127495.41,12098379.00,12460671.28,39.00,74559.50,76792.22,3.76,261761.00,785283.00,3.00,320967.67,104956427.00,327.00,0.91,931,931,84.70,84.70,4.20,4.20,4.20,4.20,2.30,2.30,4.60,4.60,349153.00,356301.35,115000.00,117354.44,767500.00,783213.35,337250.00,344154.66,141516.25,144413.57,18156000.00,18527715.33,52.00,70441.00,71883.17,4.79,28.80,17.20,210417.00,841668.00,4.00,321606.70,104843784.00,326.00,1.21,1189,86.38,0.76,0.00,3.45,0.00,0.00,1.26,8.16
370630004013,301600.00,310631.57,85000.00,87545.37,600000.00,617967.31,310000.00,319283.11,136152.35,140229.51,6032000.00,6212631.39,20.00,61596.50,63441.04,5.03,250886.22,2257976.00,9.00,342491.98,72950792.00,213.00,4.05,694,694,80.00,80.00,6.50,6.50,4.00,4.00,2.60,2.60,6.90,6.90,384893.00,392773.07,190000.00,193889.95,880000.00,898016.61,345500.00,352573.57,148323.97,151360.67,18090000.00,18460364.09,47.00,85598.00,87350.48,4.04,36.40,17.80,243749.10,2437491.00,10.00,342491.98,72950792.00,213.00,4.48,1057,86.28,3.22,0.00,5.68,0.00,0.00,0.00,4.82
370630004021,234290.00,241305.94,20000.00,20598.91,420000.00,432577.12,243000.00,250276.76,91075.77,93803.08,7263000.00,7480494.33,31.00,36783.50,37885.00,6.61,173893.81,4521239.00,26.00,266931.20,64063489.00,240.00,9.77,1963,1963,69.40,69.40,7.60,7.60,5.20,5.20,2.50,2.50,15.20,15.20,268955.00,274461.43,65000.00,66330.77,656000.00,669430.56,257000.00,262261.67,123141.93,125663.07,15868382.00,16193261.98,59.00,44100.00,45002.88,5.83,33.80,19.70,179915.64,4497891.00,25.00,264739.49,64066956.00,242.00,9.36,2054,75.02,3.99,0.00,9.25,0.00,1.07,2.63,8.03
370630005001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5076.50,5228.52,NaN,108724.00,217448.00,2.00,188815.67,566447.00,3.00,40.00,1155,1155,48.40,48.40,22.90,22.90,20.00,20.00,1.80,1.80,6.90,6.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,108724.00,217448.00,2.00,188815.67,566447.00,3.00,40.00,924,58.66,26.41,0.43,9.63,0.00,0.00,3.79,1.08
370630005002,213250.00,219635.88,51000.00,52527.22,325000.00,334732.29,228500.00,235342.55,92974.73,95758.90,3412000.00,3514174.12,16.00,24758.00,25499.39,9.23,164143.82,1805582.00,11.00,226621.70,17903114.00,79.00,12.22,584,584,50.90,50.90,31.20,31.20,2.20,2.20,3.80,3.80,12.00,12.00,284343.00,290164.47,23500.00,23981.13,585000.00,596976.95,307500.00,313795.58,175828.11,179427.91,4549500.00,4642643.80,16.00,28125.00,28700.81,10.93,38.90,11.60,171455.58,2057467.00,12.00,223780.99,17902479.00,80.00,13.04,616,54.06,23.38,0.00,17.21,0.00,0.00,3.57,1.79
370630005003,70333.00,72439.16,1000.00,1029.95,199000.00,204959.16,47000.00,48407.44,63518.91,65421.01,844000.00,869274.02,12.00,23911.00,24627.03,1.97,124520.93,1867814.00,15.00,162162.80,14108164.00,87.00,14.71,1289,1289,7.80,7.80,49.70,49.70,2.40,2.40,1.70,1.70,38.40,38.40,206581.00,210810.42,4000.00,4081.89,509000.00,519420.97,208000.00,212258.47,142573.50,145492.46,8883000.00,9064865.35,43.00,24667.00,25172.02,8.43,40.90,22.70,121472.83,1457674.00,12.00,161031.13,14492802.00,90.00,11.76,1039,18.09,63.52,0.00,12.61,0.00,0.00,3.18,2.60
