id,meansp9800,minsp9800,maxsp9800,mediansp9800,totsp9800,nums9800,mhi99,pir9800,mgr_phi99,mmoc_phi99
370630003013,113886.74,15000.00,410500.00,81000.00,3074942.00,27,27708.00,2.92,25.00,22.20
370630003022,132166.67,12500.00,280000.00,125000.00,5551000.00,42,29917.00,4.18,31.40,19.80
370630003023,210102.70,10300.00,525000.00,186000.00,7773800.00,37,31961.00,5.82,30.70,18.80
370630015031,90000.00,90000.00,90000.00,90000.00,90000.00,1,8750.00,10.29,50.00,0.00
370630005001,71500.00,35000.00,108000.00,71500.00,143000.00,2,11151.00,6.41,50.00,10.00
370630010021,68750.00,15000.00,131000.00,72750.00,3300000.00,48,24726.00,2.94,27.10,18.20
370630018021,92780.27,10000.00,152000.00,99500.00,13638700.00,147,40477.00,2.46,23.20,20.90
370630005002,72735.29,47000.00,103000.00,80000.00,1236500.00,17,26688.00,3.00,27.00,21.00
370630018042,142048.74,59000.00,313000.00,132250.00,45171500.00,318,60400.00,2.19,24.30,20.50
370630009001,35500.00,5000.00,75000.00,24750.00,639000.00,18,20086.00,1.23,25.40,24.00
370630009002,40546.03,4065.00,138000.00,36250.00,1378565.00,34,18036.00,2.01,29.90,35.30
370630010024,51428.57,17000.00,85000.00,52000.00,1800000.00,35,23420.00,2.22,24.60,23.60
370630007001,152500.00,17000.00,360000.00,105000.00,1677500.00,11,11197.00,9.38,28.70,25.00
370630008011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630006002,176056.70,10000.00,322000.00,178000.00,17077500.00,97,47000.00,3.79,24.80,13.60
370630010011,56514.29,20000.00,180000.00,58500.00,1978000.00,35,27727.00,2.11,33.10,22.20
370630012011,90416.34,9500.00,410500.00,64250.00,2893323.00,32,18893.00,3.40,33.20,17.30
370630018054,157425.78,1000.00,292000.00,157500.00,43134665.00,274,68750.00,2.29,37.50,22.50
370630019001,144136.36,60000.00,372500.00,125000.00,1585500.00,11,41467.00,3.01,23.40,15.20
370630005004,42075.20,6500.00,138000.00,29500.00,1472632.00,35,22847.00,1.29,26.80,29.80
370630018022,94004.27,5000.00,180000.00,98000.00,12220555.00,130,36989.00,2.65,29.30,18.60
370630010023,63576.92,17000.00,180000.00,58250.00,1653000.00,26,37500.00,1.55,17.90,12.40
370630012021,50714.29,17500.00,87000.00,53000.00,355000.00,7,15981.00,3.32,18.50,22.30
370630010012,63942.86,19000.00,410500.00,55000.00,2238000.00,35,11563.00,4.76,34.00,16.80
370630020172,219982.14,25500.00,540000.00,211500.00,12319000.00,56,70833.00,2.99,36.40,16.60
370630011002,50777.78,4000.00,80000.00,58000.00,1371000.00,27,17206.00,3.37,30.00,16.40
370630007002,193022.39,15000.00,550000.00,180000.00,12932500.00,67,65238.00,2.76,32.50,16.30
370630006001,112458.81,16000.00,290000.00,102000.00,15519316.00,138,45536.00,2.24,25.70,18.20
370630010013,52898.21,3000.00,410500.00,40000.00,2962300.00,56,21964.00,1.82,27.50,25.30
370630014002,53304.35,7000.00,138000.00,56000.00,1226000.00,23,16653.00,3.36,25.30,14.80
370630007003,146807.69,16000.00,465000.00,150500.00,11451000.00,78,55833.00,2.70,24.60,18.10
370630013012,55000.00,5000.00,135000.00,55500.00,605000.00,11,13203.00,4.20,47.20,37.50
370630013031,61040.00,8000.00,175000.00,62000.00,1526000.00,25,25494.00,2.43,27.80,19.80
370630020151,120708.74,18000.00,265000.00,125000.00,12433000.00,103,48287.00,2.59,24.70,20.30
370630020091,80075.00,5000.00,123000.00,84000.00,3203000.00,40,36840.00,2.28,32.50,23.60
370630018053,96384.62,500.00,259000.00,107000.00,3759000.00,39,49732.00,2.15,15.50,14.60
370630013032,65757.89,2900.00,191000.00,55000.00,1249400.00,19,37875.00,1.45,21.60,21.10
370630014001,62000.00,19000.00,137000.00,57000.00,806000.00,13,21793.00,2.62,23.30,14.60
370630020092,84580.00,28000.00,270000.00,77000.00,2114500.00,25,39643.00,1.94,24.00,22.80
370630020141,108267.86,10000.00,301500.00,109000.00,12126000.00,112,45643.00,2.39,22.00,19.20
370630013041,67527.54,1000.00,120000.00,76500.00,3646487.00,54,21567.00,3.55,27.10,23.50
370630020093,80429.55,7500.00,137000.00,80000.00,3538900.00,44,42070.00,1.90,27.80,22.60
370630020071,144687.50,25000.00,245500.00,149500.00,12732500.00,88,59107.00,2.53,20.80,17.50
370630020161,131019.23,11000.00,234000.00,131500.00,3406500.00,26,30757.00,4.28,26.10,24.20
370630018051,86233.33,18000.00,185000.00,86000.00,2587000.00,30,39083.00,2.20,22.90,20.60
370630020072,188319.67,107000.00,700000.00,155000.00,11487500.00,61,59375.00,2.61,23.40,21.10
370630020182,183558.95,14500.00,442500.00,164000.00,42035000.00,229,62625.00,2.62,26.60,19.60
370630020073,139945.95,75000.00,322500.00,125500.00,5178000.00,37,68438.00,1.83,25.30,19.30
370630020101,110846.15,14000.00,189000.00,127000.00,1441000.00,13,38500.00,3.30,25.50,19.10
370630020081,333209.09,41000.00,1800000.00,290000.00,18326500.00,55,162716.00,1.78,22.50,13.60
370630020181,248721.52,50000.00,790000.00,197000.00,19649000.00,79,57206.00,3.44,28.80,14.00
370630020103,125983.17,200.00,622500.00,133000.00,39936666.00,317,48281.00,2.75,43.80,22.40
370630020082,243351.43,36000.00,700000.00,227500.00,42586500.00,175,89874.00,2.53,17.70,15.50
