id,meansp1314,minsp1314,maxsp1314,mediansp1314,stddevsp1314,totsp1314,nums1314,mhi1314,pir1314
370630016031,141309.0,29500.0,198000.0,149000.0,43661.90449350555,2967500.0,21.0,62483.0,2.384648624425844
370630016032,197696.0,66000.0,305000.0,200000.0,46045.339080084974,22735056.0,115.0,82723.0,2.41770728817862
370630016033,142570.0,20500.0,465000.0,130895.5,82295.15720259608,4277118.0,30.0,58047.0,2.254991644701707
370630016034,276823.0,133000.0,415000.0,289000.0,76714.03829808466,9412000.0,34.0,96820.5,2.9849050562639112
370630016041,213345.0,46000.0,374000.0,217500.0,60307.454108095124,12374066.0,58.0,82264.0,2.643926869590586
370630016042,225599.0,15000.0,435000.0,227500.0,65217.52102004492,13987160.0,62.0,93083.5,2.4440421771850005
370630016043,191970.0,21000.0,460000.0,170500.0,95098.62722458196,6718966.0,35.0,79810.0,2.136323768951259
370630017051,132583.0,78000.0,254000.0,129000.0,31074.22423810448,8087604.0,61.0,45989.5,2.804988095108666
370630017052,225122.0,61000.0,735000.0,142000.0,170760.5046607675,7879278.0,35.0,43832.5,3.2396053156904125
370630017053,112597.0,40000.0,240000.0,113000.0,48864.50938053097,4053500.0,36.0,51817.0,2.180751490823475
370630017061,290319.0,97500.0,479000.0,261000.0,99458.54504264578,10451500.0,36.0,41293.5,6.320607359511787
370630017062,195904.0,59000.0,416000.0,189000.0,89941.03888659504,4114000.0,21.0,49102.0,3.8491303816545153
370630017071,233437.0,65000.0,614000.0,192500.0,107888.42690483537,9337500.0,40.0,87993.5,2.18766158864007
370630017072,200074.0,58000.0,375000.0,213000.0,68572.51738852817,10203796.0,51.0,60583.0,3.515837776273872
370630017073,233977.0,144000.0,415000.0,206750.0,76897.54635877532,3275678.0,14.0,69057.0,2.993903586891988
370630017074,218599.0,20000.0,751000.0,204000.0,133559.0860742915,20329747.0,93.0,66934.0,3.0477784085815878
370630017075,422866.0,36000.0,1230000.0,250000.0,276228.93150066666,25372000.0,60.0,72020.5,3.47123388479669
370630017081,127543.0,3894.0,196000.0,134452.0,50282.61542521432,8545429.0,67.0,46265.5,2.9060963352822298
370630017091,54894.0,17000.0,90000.0,63000.0,24678.25117385752,1043000.0,19.0,37879.5,1.6631687324278304
370630017092,62167.0,31500.0,89000.0,61000.0,16916.48568704505,746007.0,12.0,30232.5,2.0176961878772843
370630017093,115750.0,31256.0,210000.0,118000.0,56089.922080530654,1736256.0,15.0,23339.0,5.055914992073354
370630017101,146250.0,90500.0,240000.0,141250.0,34464.177895316185,7020036.0,48.0,51569.5,2.7390220963941867
370630017102,113699.0,68000.0,163000.0,115000.0,25814.20531412888,2842485.0,25.0,31167.0,3.6898001090897425
370630017111,109821.0,51000.0,157000.0,127500.0,39294.551950620335,1537500.0,14.0,36068.5,3.5349404605126358
370630017112,165000.0,115000.0,222000.0,161500.0,47560.48780237646,660000.0,4.0,31365.0,5.149051490514905
370630017113,123250.0,119000.0,127500.0,123250.0,6010.407640085655,246500.0,2.0,31942.0,3.8585561329910463
370630018011,103433.0,1674.0,168500.0,117000.0,40639.06974821152,7757544.0,75.0,65030.5,1.799155780749033
370630018012,102215.0,32508.0,189000.0,100000.0,52976.19982595958,2146516.0,21.0,28836.5,3.4678272328472595
370630018013,103355.0,13000.0,245000.0,105000.0,50178.26382010442,11472459.0,111.0,59650.0,1.760268231349539
370630018014,92759.0,23500.0,155000.0,97000.0,33519.86980881638,3803145.0,41.0,48639.0,1.9942844219659122
370630018015,162400.0,15000.0,345000.0,116000.0,146701.39740302408,812000.0,5.0,41008.5,2.8286818586390625
370630018021,86808.0,30000.0,169200.0,81750.0,36882.0400195,3298740.0,38.0,36890.0,2.216047709406343
370630018022,85827.0,34500.0,120000.0,90409.0,27084.51286251979,1287409.0,15.0,50597.0,1.7868450698658023
370630018023,95645.0,30000.0,185000.0,98360.0,33296.81729535122,3443220.0,36.0,36476.5,2.696530643016737
370630018024,66036.0,28980.0,141000.0,75000.0,34132.355954431274,858480.0,13.0,35761.0,2.0972567881211375
370630018061,116733.0,1750.0,260000.0,111000.0,60178.010917610096,2334679.0,20.0,58828.0,1.8868565988984838
370630018062,137890.0,1941.0,230000.0,147500.0,48262.90209881706,18477369.0,134.0,63921.0,2.3075358645828445
370630018071,121551.0,30500.0,227000.0,124000.0,41209.73873976879,4497400.0,37.0,45765.5,2.709464552992975
370630018072,136851.0,3000.0,295000.0,140000.0,50191.657434278866,14095704.0,103.0,80239.0,1.744787447500592
370630018073,111742.0,28000.0,183369.0,112000.0,29202.214522189923,7486746.0,67.0,57621.5,1.943718924359831
370630018081,170316.0,57500.0,275500.0,171500.0,41801.50610923008,11581502.0,68.0,90391.5,1.8973022905914827
370630018082,316148.0,40000.0,1830000.0,234000.0,321172.93746671744,184946605.0,585.0,83862.5,2.790281711134297
370630018091,110425.0,22500.0,185000.0,121500.0,57337.9352174457,2208500.0,20.0,45397.5,2.6763588303320667
370630018092,211829.0,93500.0,385000.0,213000.0,44387.62364668783,17793698.0,84.0,64210.0,3.317240305248404
370630019001,363771.0,74000.0,611000.0,366500.0,96725.21367771694,86577500.0,238.0,52396.0,6.9948087640277885
