id,pop_16,ptwhnl_16,ptblknl_16,ptnanl_16,ptasnl_16,ptpanl_16,ptothnl_16,pt2mnl_16,ptlat_16
370630017113,1638,28.88,45.48,0.00,1.89,0.00,0.00,1.40,22.34
370630018011,1693,43.00,46.19,0.00,0.00,0.00,0.00,9.39,1.42
370630018012,750,16.27,33.33,0.00,0.00,0.00,0.00,0.00,50.40
370630018013,3758,15.09,68.52,0.00,0.00,0.00,0.00,0.00,16.39
370630018014,1159,34.34,26.06,0.00,1.73,0.00,0.00,0.00,37.88
370630018015,492,42.89,38.62,0.00,0.00,0.00,0.00,0.00,18.50
370630018021,2310,6.10,68.57,0.00,0.78,0.00,0.00,4.85,19.70
370630018022,1855,5.23,50.89,0.00,0.00,0.00,0.00,8.89,34.99
370630018023,2125,4.71,58.92,0.00,0.00,0.00,0.00,0.05,36.33
370630018024,1162,27.28,9.98,0.00,0.00,0.00,0.00,0.43,62.31
370630018061,2159,71.28,13.66,0.00,0.00,0.00,0.00,0.00,15.05
370630018062,3845,21.25,70.69,0.00,1.25,0.00,0.00,1.01,5.80
370630018071,2882,27.52,48.54,0.21,0.87,0.00,0.00,2.39,20.47
370630018072,3631,22.23,56.21,0.00,2.37,0.00,0.00,2.56,16.63
370630018073,2640,19.05,64.39,0.00,0.00,0.00,0.00,1.44,15.11
370630018081,2389,46.80,42.82,0.00,7.03,0.00,0.00,1.26,2.09
370630018082,5565,45.55,34.93,0.20,7.24,0.00,0.00,2.61,9.47
370630018091,2781,36.75,53.72,0.00,1.55,0.00,0.00,1.22,6.76
370630018092,2667,58.60,34.08,0.45,2.51,0.00,1.12,2.74,0.49
370630019001,659,81.03,5.77,0.00,5.92,0.00,0.00,6.22,1.06
370630019002,2443,78.92,11.79,0.00,3.44,0.00,0.00,3.52,2.33
370630020071,1827,77.50,18.17,0.77,1.04,0.00,0.00,0.66,1.86
370630020072,2529,47.17,31.79,0.00,2.73,0.00,0.00,1.82,16.49
370630020073,725,47.59,43.59,0.00,0.00,4.41,0.00,4.28,0.14
370630020081,921,87.62,9.01,1.19,1.19,0.00,0.00,0.98,0.00
370630020082,2180,83.62,10.00,0.69,1.05,0.00,0.00,2.34,2.29
370630020091,1601,0.12,86.70,0.00,0.00,0.00,0.00,0.00,13.18
370630020092,1151,2.61,59.34,1.56,7.38,0.00,0.00,0.00,29.11
370630020093,1807,0.39,84.89,0.00,0.00,0.00,0.00,3.98,10.74
370630020131,1387,43.04,41.02,0.00,2.09,0.00,0.00,8.36,5.48
370630020132,1018,55.99,28.68,0.00,0.49,0.00,2.16,1.08,11.59
370630020133,2145,66.85,13.94,0.00,5.83,0.00,0.51,2.28,10.58
370630020151,2595,34.45,28.98,0.00,0.46,0.00,0.00,0.08,36.03
370630020152,2153,44.96,26.94,0.00,7.52,0.00,0.00,5.43,15.14
370630020153,757,74.37,9.12,0.00,14.40,0.00,0.00,0.66,1.45
370630020161,2982,19.18,30.25,0.00,5.33,0.00,0.00,4.02,41.21
370630020162,2749,31.43,35.58,0.00,3.86,0.00,0.00,0.84,28.30
370630020171,2352,80.53,1.45,0.00,9.48,0.00,0.00,6.12,2.42
370630020172,1466,74.42,15.28,0.00,6.75,0.00,1.02,1.50,1.02
370630020173,3797,69.66,9.69,0.00,11.22,0.00,0.26,4.00,5.16
370630020181,2422,83.57,2.02,0.58,10.90,0.00,0.00,0.78,2.15
370630020182,3610,41.19,36.40,0.00,5.98,0.00,0.00,2.58,13.85
370630020183,2642,78.92,10.14,1.21,2.84,0.00,0.00,2.84,4.05
370630020191,1372,76.24,13.70,0.00,2.70,0.00,0.00,0.00,7.36
370630020192,1784,74.78,9.75,0.00,12.00,0.00,0.00,0.00,3.48
370630020193,1688,84.12,10.72,0.00,3.50,0.00,0.00,0.00,1.66
370630020201,2102,64.18,12.85,0.00,14.18,0.00,0.00,5.33,3.47
370630020202,4869,62.11,25.12,0.76,7.39,0.00,1.19,1.81,1.62
370630020211,2807,60.78,22.84,0.00,6.48,0.00,0.00,2.74,7.16
370630020212,1711,30.33,41.03,0.00,12.86,0.00,0.00,0.00,15.78
370630020221,2427,34.03,50.76,1.07,4.16,0.33,1.57,1.57,6.51
370630020222,2261,74.22,18.49,0.00,2.79,0.00,0.00,4.51,0.00
370630020231,1446,54.08,26.07,0.00,1.59,0.00,0.00,0.00,18.26
370630020232,1862,66.59,15.74,0.00,14.88,0.00,0.00,0.00,2.79
370630020241,4070,61.11,24.79,0.00,11.28,0.00,0.00,0.00,2.83
370630020242,928,72.52,10.99,0.00,0.00,0.00,0.00,0.00,16.49
370630020243,1190,68.74,9.92,0.00,6.22,0.00,0.00,3.45,11.68
370630020251,2681,30.03,43.53,0.00,12.83,0.00,0.00,5.18,8.43
370630020252,2553,35.92,43.64,0.00,0.90,0.00,1.76,0.00,17.78
370630020253,1664,51.98,39.60,0.00,0.72,0.00,0.00,3.79,3.91
370630020261,2538,13.28,66.31,0.00,1.02,0.00,0.00,5.52,13.87
370630020262,3896,10.81,75.05,0.00,0.87,0.00,0.00,1.95,11.32
370630020271,1481,34.64,31.94,0.00,8.98,0.00,1.21,3.11,20.12
370630020272,5679,26.24,44.71,0.37,4.67,0.97,0.00,0.63,22.42
370630020273,1939,15.32,60.60,0.00,7.17,0.00,0.00,1.86,15.06
370630020281,2778,47.23,29.88,0.00,14.54,0.00,0.00,3.46,4.90
370630020282,1676,35.20,49.94,0.00,10.98,0.00,0.00,3.88,0.00
370630020283,3150,40.00,28.54,2.83,18.16,0.00,1.81,0.38,8.29
370630021001,2152,79.65,15.89,0.84,0.84,0.00,0.00,0.33,2.46
370630021002,5549,47.70,39.18,1.37,0.00,0.00,0.00,3.10,8.65
370630021003,1583,92.99,4.55,0.00,0.00,0.00,0.00,1.20,1.26
370630022001,1835,64.52,26.97,0.27,2.94,0.00,0.00,2.51,2.78
370630023001,1058,12.57,77.32,0.00,0.00,0.00,0.00,0.38,9.74
370630023002,426,2.82,65.26,0.00,0.00,0.00,0.00,0.00,31.92
370639801001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
