id,meansp1314,meansp1314a17,minsp1314,minsp1314a17,maxsp1314,maxsp1314a17,mediansp1314,mediansp1314a17,totsp1314,totsp1314a17,nums1314,mhi1314,mhi1314a17,pir1314,mean_sfno100517,tot_sfno100517,num_sfno100517,mean_sfoo100517,tot_sfoo100517,num_sfoo100517,prc_sfno100517,pop13,pop14,ptwhnl13,ptwhnl14,ptblknl13,ptblknl14,ptasnl13,ptasnl14,ptothnl13,ptothnl14,ptlat13,ptlat14,meansp1517,meansp1517a17,minsp1517,minsp1517a17,maxsp1517,maxsp1517a17,mediansp1517,mediansp1517a17,totsp1517,totsp1517a17,nums1517,mhi16,mhi16a17,pir1517,mgr_phi16,mmoc_phi16,mean_sfno011818,tot_sfno011818,num_sfno011818,mean_sfoo011818,tot_sfoo011818,num_sfoo011818,prc_sfno011818,pop16,ptwhnl16,ptblknl16,ptnanl16,ptasnl16,ptpanl16,ptothnl16,pt2mnl16,ptlat16
370630003021,292134.15,300882.26,13000.00,13389.29,645000.00,664314.86,272000.00,280145.18,11977500.00,12336172.49,41.00,75859.50,78131.15,3.59,255246.57,1786726.00,7.00,321495.32,97091588.00,302.00,2.27,779,779,77.70,77.70,10.00,10.00,2.30,2.30,3.00,3.00,7.10,7.10,304233.33,310462.03,5000.00,5102.37,680000.00,693921.92,293000.00,298998.71,22817500.00,23284652.16,75.00,74554.00,76080.38,3.93,21.70,22.10,253532.25,2028258.00,8.00,321017.25,96947209.00,302.00,2.58,849,75.38,13.07,0.00,6.83,0.00,0.00,0.00,4.71
370630003022,308214.29,317443.93,50000.00,51497.28,650000.00,669464.59,265000.00,272935.56,6472500.00,6666322.39,21.00,43954.00,45270.23,6.03,249018.12,4233308.00,17.00,323024.49,58144409.00,180.00,8.63,1114,1114,50.40,50.40,15.60,15.60,2.40,2.40,2.30,2.30,29.20,29.20,291359.38,297324.50,63500.00,64800.06,535000.00,545953.28,297500.00,303590.84,9323500.00,9514383.89,32.00,59583.00,60802.87,4.99,30.00,17.10,249018.12,4233308.00,17.00,323317.69,58197184.00,180.00,8.63,1206,58.21,18.08,0.00,0.00,0.00,0.00,5.64,18.08
370630003023,500928.57,515929.14,32000.00,32958.26,800000.00,823956.42,487000.00,501583.47,10519500.00,10834511.92,21.00,26316.50,27104.56,18.51,418659.86,2930619.00,7.00,488122.00,103969985.00,213.00,3.18,1533,1533,58.10,58.10,15.90,15.90,2.60,2.60,3.10,3.10,20.40,20.40,557540.00,568954.75,77500.00,79086.69,1425000.00,1454174.62,550000.00,561260.38,13938500.00,14223868.70,25.00,34805.00,35517.58,15.80,28.30,16.50,392608.88,3140871.00,8.00,487579.95,104342110.00,214.00,3.60,1538,58.19,7.54,0.00,5.72,0.00,0.00,2.93,25.62
370630004011,177304.35,182613.82,50500.00,52012.25,291000.00,299714.15,185750.00,191312.38,8156000.00,8400235.68,46.00,56005.50,57682.61,3.32,188504.69,2450561.00,13.00,213234.43,67595314.00,317.00,3.94,898,898,70.00,70.00,13.60,13.60,1.80,1.80,3.30,3.30,11.20,11.20,262664.63,268042.27,46000.00,46941.78,800000.00,816378.73,247500.00,252567.17,21538500.00,21979466.66,82.00,64453.00,65772.57,3.84,27.80,14.60,190192.23,2472499.00,13.00,212625.43,67827513.00,319.00,3.92,789,87.71,1.01,0.00,0.00,0.00,0.00,1.14,10.14
370630004012,319585.71,329155.87,107000.00,110204.17,823000.00,847645.16,328000.00,337822.13,11185500.00,11520455.64,35.00,74559.50,76792.22,4.40,261761.00,785283.00,3.00,320967.67,104956427.00,327.00,0.91,931,931,84.70,84.70,4.20,4.20,4.20,4.20,2.30,2.30,4.60,4.60,358923.08,366271.46,122000.00,124497.76,767500.00,783213.35,345250.00,352318.45,18664000.00,19046115.83,52.00,70441.00,71883.17,4.90,28.80,17.20,210417.00,841668.00,4.00,321606.70,104843784.00,326.00,1.21,1189,86.38,0.76,0.00,3.45,0.00,0.00,1.26,8.16
370630004013,311684.21,321017.76,85000.00,87545.37,600000.00,617967.31,320000.00,329582.57,5922000.00,6099337.38,19.00,61596.50,63441.04,5.20,250886.22,2257976.00,9.00,342491.98,72950792.00,213.00,4.05,694,694,80.00,80.00,6.50,6.50,4.00,4.00,2.60,2.60,6.90,6.90,383617.65,391471.61,176500.00,180113.56,880000.00,898016.61,345000.00,352063.33,19564500.00,19965052.14,51.00,85598.00,87350.48,4.03,36.40,17.80,243749.10,2437491.00,10.00,342491.98,72950792.00,213.00,4.48,1057,86.28,3.22,0.00,5.68,0.00,0.00,0.00,4.82
370630004021,237933.33,245058.37,20000.00,20598.91,420000.00,432577.12,246500.00,253881.57,7138000.00,7351751.14,30.00,36783.50,37885.00,6.70,173893.81,4521239.00,26.00,266931.20,64063489.00,240.00,9.77,1963,1963,69.40,69.40,7.60,7.60,5.20,5.20,2.50,2.50,15.20,15.20,307245.28,313535.64,145000.00,147968.65,656000.00,669430.56,282000.00,287773.50,16284000.00,16617389.10,53.00,44100.00,45002.88,6.39,33.80,19.70,179915.64,4497891.00,25.00,264739.49,64066956.00,242.00,9.36,2054,75.02,3.99,0.00,9.25,0.00,1.07,2.63,8.03
370630005001,151000.00,155521.77,151000.00,155521.77,151000.00,155521.77,151000.00,155521.77,151000.00,155521.77,1.00,5076.50,5228.52,29.74,108724.00,217448.00,2.00,188815.67,566447.00,3.00,40.00,1155,1155,48.40,48.40,22.90,22.90,20.00,20.00,1.80,1.80,6.90,6.90,,,,,,,,,,,,,,,,,108724.00,217448.00,2.00,188815.67,566447.00,3.00,40.00,924,58.66,26.41,0.43,9.63,0.00,0.00,3.79,1.08
370630005002,247416.67,254825.69,51000.00,52527.22,325000.00,334732.29,275000.00,283235.02,2969000.00,3057908.25,12.00,24758.00,25499.39,11.11,164143.82,1805582.00,11.00,226621.70,17903114.00,79.00,12.22,584,584,50.90,50.90,31.20,31.20,2.20,2.20,3.80,3.80,12.00,12.00,297500.00,303590.84,23500.00,23981.13,585000.00,596976.95,307500.00,313795.58,4760000.00,4857453.46,16.00,28125.00,28700.81,10.93,38.90,11.60,171455.58,2057467.00,12.00,223780.99,17902479.00,80.00,13.04,616,54.06,23.38,0.00,17.21,0.00,0.00,3.57,1.79
370630005003,95000.00,97844.82,1000.00,1029.95,199000.00,204959.16,104500.00,107629.31,760000.00,782758.60,8.00,23911.00,24627.03,4.37,124520.93,1867814.00,15.00,165055.76,13699628.00,83.00,15.31,1289,1289,7.80,7.80,49.70,49.70,2.40,2.40,1.70,1.70,38.40,38.40,244700.00,249709.84,4000.00,4081.89,509000.00,519420.97,245000.00,250015.99,8564500.00,8739844.57,35.00,24667.00,25172.02,9.93,40.90,22.70,121472.83,1457674.00,12.00,163770.53,14084266.00,86.00,12.24,1039,18.09,63.52,0.00,12.61,0.00,0.00,3.18,2.60
