id,mean_sfno2001,tot_sfno2001,num_sfno2001,mean_sfoo2001,tot_sfoo2001,num_sfoo2001,prc_sfno2001
370630001011,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630001012,79898.33,1677865.00,21,79142.66,30707352.00,388,5.13
370630001021,91117.57,637823.00,7,100297.86,33098295.00,330,2.08
370630001022,99347.27,2980418.00,30,105086.62,43085515.00,410,6.82
370630002001,88249.91,970749.00,11,105992.90,17700814.00,167,6.18
370630002002,72468.39,1304431.00,18,78705.43,7398310.00,94,16.07
370630002003,82566.67,495400.00,6,120916.20,27447977.00,227,2.58
370630003011,65615.60,1312312.00,20,81846.40,9576029.00,117,14.6
370630003012,61152.13,1895716.00,31,85360.77,6231336.00,73,29.81
370630003013,79401.33,714612.00,9,111632.02,6474657.00,58,13.43
370630003021,119399.60,596998.00,5,143817.46,40844158.00,284,1.73
370630003022,100756.19,1612099.00,16,140523.52,23607951.00,168,8.7
370630003023,113767.00,1592738.00,14,177604.59,33922476.00,191,6.83
370630004011,95198.55,2094368.00,22,107470.31,36432436.00,339,6.09
370630004012,126976.88,1015815.00,8,147436.89,47622116.00,323,2.42
370630004013,111870.13,894961.00,8,152811.36,24908251.00,163,4.68
370630004021,69148.45,1382969.00,20,93131.19,20023205.00,215,8.51
370630005001,NaN,NaN,NaN,66482.29,465376.00,7,NaN
370630005002,62160.76,1056733.00,17,86901.06,5387866.00,62,21.52
370630005003,47073.36,517807.00,11,63040.12,3152006.00,50,18.03
370630005004,55892.21,1341413.00,24,62668.84,4825501.00,77,23.76
370630006001,93109.47,3165722.00,34,115577.17,51547420.00,446,7.08
370630006002,112004.67,1680070.00,15,176854.45,51641499.00,292,4.89
370630006003,227994.80,1139974.00,5,270237.11,53236710.00,197,2.48
370630007001,58563.14,409942.00,7,124766.88,8359381.00,67,9.46
370630007002,163960.14,1147721.00,7,187787.58,61969901.00,330,2.08
370630007003,120752.62,1569784.00,13,172357.65,52569084.00,305,4.09
370630009001,43239.21,605349.00,14,53090.10,3132316.00,59,19.18
370630009002,53951.52,1564594.00,29,57899.65,5963664.00,103,21.97
370630010011,60371.75,965948.00,16,65591.24,7411810.00,113,12.4
370630010012,56290.67,506616.00,9,64674.35,8342991.00,129,6.52
370630010013,52094.30,1719112.00,33,64776.85,12890593.00,199,14.22
370630010021,67211.77,873753.00,13,75967.51,23094123.00,304,4.1
370630010022,55911.67,167735.00,3,77187.15,9030896.00,117,2.5
370630010023,66551.92,798623.00,12,68273.17,6281132.00,92,11.54
370630010024,49542.21,693591.00,14,61313.75,6315316.00,103,11.97
370630011001,44926.02,2021671.00,45,55421.83,3491575.00,63,41.67
370630011002,55456.73,610024.00,11,59215.07,4974066.00,84,11.58
370630013011,52715.91,2846659.00,54,66369.02,11880054.00,179,23.18
370630013031,61723.28,2407208.00,39,76333.84,17251448.00,226,14.72
370630013032,67530.10,675301.00,10,82929.59,12439438.00,150,6.25
370630013041,68175.35,2522488.00,37,77634.71,27249784.00,351,9.54
370630014001,67805.86,474641.00,7,81716.28,9397372.00,115,5.74
370630014002,53114.64,1168522.00,22,60590.03,9997355.00,165,11.76
370630015011,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630015021,57271.00,458168.00,8,67991.38,3807517.00,56,12.5
370630015022,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630015023,93813.00,375252.00,4,67801.00,610209.00,9,30.77
370630015024,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630015031,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630016011,128324.65,2951467.00,23,140117.12,31246117.00,223,9.35
370630016012,131400.65,4861824.00,37,151499.42,146348441.00,966,3.69
370630016013,117900.19,3654906.00,31,136963.77,75877928.00,554,5.3
370630016031,124165.47,2110813.00,17,128317.57,30796216.00,240,6.61
370630016032,168304.65,3366093.00,20,143440.04,87068104.00,607,3.19
370630016033,117996.25,2359925.00,20,131898.86,50781063.00,385,4.94
370630016034,202007.77,2626101.00,13,221952.46,105649371.00,476,2.66
370630016041,127642.00,3318692.00,26,158627.04,82486063.00,520,4.76
370630016042,190974.85,6493145.00,34,195965.17,170685663.00,871,3.76
370630016043,188529.93,2827949.00,15,174109.17,53451515.00,307,4.66
370630017051,112940.19,1807043.00,16,123106.04,70909078.00,576,2.7
370630017052,103897.70,2077954.00,20,204998.80,80769526.00,394,4.83
370630017053,91712.25,1834245.00,20,106292.97,27529880.00,259,7.17
370630017061,132615.25,530461.00,4,188777.10,45306505.00,240,1.64
370630017062,134285.30,2685706.00,20,175132.74,42206991.00,241,7.66
370630017071,153740.87,2306113.00,15,165095.42,50684294.00,307,4.66
370630017072,134964.52,2834255.00,21,154168.29,71225751.00,462,4.35
370630017073,173892.75,695571.00,4,198097.15,45958539.00,232,1.69
370630017074,131468.94,4075537.00,31,154603.10,79156788.00,512,5.71
370630017075,259017.00,1813119.00,7,424423.72,67907795.00,160,4.19
370630017081,94628.10,2744215.00,29,108218.52,60927029.00,563,4.9
370630017091,61366.13,1411421.00,23,74651.44,14855636.00,199,10.36
370630017092,61074.42,732893.00,12,74437.89,15706395.00,211,5.38
370630017093,53033.15,1060663.00,20,93000.60,18693121.00,201,9.05
370630017101,121182.18,2060097.00,17,128896.76,50527528.00,392,4.16
370630017102,126334.43,884341.00,7,115545.16,24148938.00,209,3.24
370630017111,99476.64,1094243.00,11,109819.30,15923799.00,145,7.05
370630017112,173824.00,347648.00,2,135920.73,5572750.00,41,4.65
370630017113,67023.00,67023.00,1,88989.80,1779796.00,20,4.76
370630018011,80355.87,1205338.00,15,115540.14,47140379.00,408,3.55
370630018012,80291.13,1926987.00,24,102884.95,19445255.00,189,11.27
370630018013,86627.10,1732542.00,20,90937.45,47196537.00,519,3.71
370630018014,67755.31,1084085.00,16,85590.09,10869942.00,127,11.19
370630018015,165058.50,1650585.00,10,158518.86,15217811.00,96,9.43
370630018021,82421.00,2060525.00,25,99019.54,42776443.00,432,5.47
370630018022,77588.11,698293.00,9,100819.71,27120503.00,269,3.24
370630018023,85603.50,1198449.00,14,92631.09,39090318.00,422,3.21
370630018024,71040.16,1349763.00,19,72395.84,13538023.00,187,9.22
370630018061,108446.53,1626698.00,15,119802.36,39774382.00,332,4.32
370630018062,97040.75,1940815.00,20,118712.78,48553526.00,409,4.66
370630018071,79703.52,1673774.00,21,104197.16,29800388.00,286,6.84
370630018072,131280.28,4200969.00,32,132374.79,113709943.00,859,3.59
370630018073,128089.45,2817968.00,22,126139.65,76692909.00,608,3.49
370630018081,140108.55,2802171.00,20,165913.62,99714085.00,601,3.22
370630018082,88101.24,2202531.00,25,125127.48,36286970.00,290,7.94
370630018091,72251.89,1950801.00,27,100126.17,23830028.00,238,10.19
370630018092,127373.09,4075939.00,32,146078.07,59307698.00,406,7.31
370630019001,134521.00,1479731.00,11,142607.24,16399833.00,115,8.73
370630019002,291056.50,582113.00,2,207988.25,21006813.00,101,1.94
370630020071,135348.58,1624183.00,12,150908.09,72284977.00,479,2.44
370630020072,204273.06,3472642.00,17,180388.83,81174975.00,450,3.64
370630020073,126468.57,1770560.00,14,167243.89,41309242.00,247,5.36
370630020081,476189.00,5238079.00,11,383212.68,124160907.00,324,3.28
370630020082,258644.30,5172886.00,20,287831.43,191983564.00,667,2.91
370630020091,84825.12,3647480.00,43,91594.06,45797028.00,500,7.92
370630020092,68282.26,1843621.00,27,86790.32,23086224.00,266,9.22
370630020093,80427.11,2251959.00,28,85601.24,44855049.00,524,5.07
370630020131,130896.00,916272.00,7,148491.77,57466315.00,387,1.78
370630020132,114372.21,1601211.00,14,124560.36,33257616.00,267,4.98
370630020133,141304.75,2826095.00,20,149571.72,98119047.00,656,2.96
370630020151,91972.88,735783.00,8,128586.16,40761812.00,317,2.46
370630020152,274419.75,1097679.00,4,208467.75,14801210.00,71,5.33
370630020153,88186.00,176372.00,2,107683.17,646099.00,6,25.0
370630020161,NaN,NaN,NaN,231254.00,693762.00,3,NaN
370630020162,169782.57,1188478.00,7,162783.07,12208730.00,75,8.54
370630020171,196012.67,1176076.00,6,245486.83,125198283.00,510,1.16
370630020172,160405.83,962435.00,6,220730.15,65556855.00,297,1.98
370630020173,211175.64,5279391.00,25,225524.62,97652160.00,433,5.46
370630020181,204597.42,2455169.00,12,291933.21,109766888.00,376,3.09
370630020182,119353.08,1432237.00,12,159308.75,29790737.00,187,6.03
370630020183,183173.37,6960588.00,38,211599.47,136904854.00,647,5.55
370630020191,124866.00,249732.00,2,98815.00,494075.00,5,28.57
370630020192,152301.43,3502933.00,23,212369.26,19113233.00,90,20.35
370630020193,241559.80,1207799.00,5,223027.30,103484667.00,464,1.07
370630020201,184455.83,2213470.00,12,208198.30,28106770.00,135,8.16
370630020202,251273.67,3769105.00,15,220263.42,149999391.00,681,2.16
370630020211,205340.58,2464087.00,12,162456.42,29079700.00,179,6.28
370630020212,155997.14,1091980.00,7,181083.82,21367891.00,118,5.6
370630020221,129942.85,1689257.00,13,151581.58,30316315.00,200,6.1
370630020222,153002.96,3519068.00,23,172456.13,90367013.00,524,4.2
370630020231,166142.50,664570.00,4,175494.25,47909930.00,273,1.44
370630020232,168573.00,842865.00,5,187624.82,59477068.00,317,1.55
370630020241,173339.67,3120114.00,18,176465.88,180171668.00,1021,1.73
370630020242,162849.00,325698.00,2,177270.43,17904313.00,101,1.94
