id,meansp9800,meansp9800a17,minsp9800,minsp9800a17,maxsp9800,maxsp9800a17,mediansp9800,mediansp9800a17,stddevsp9800,stddevsp9800a17,totsp9800,totsp9800a17,nums9800,mhi99,mhi99a17,pir9800,mgr_phi99,mmoc_phi99,pop00,ptwhnl00,ptblknl00,ptnanl00,ptasnl00,ptpanl00,ptothnl00,pt2mnl00,ptlat00,mean_sfno2001,tot_sfno2001,num_sfno2001,mean_sfoo2001,tot_sfoo2001,num_sfoo2001,prc_sfno2001
370630016032,137426.00,201435.98,17000.00,24918.22,299000.00,438267.56,135000.00,197880.00,57576.23,84393.96,31058500.00,45524859.11,226.00,64973.00,95235.98,2.08,42.50,19.30,1839,81.13,13.92,4.95,0.00,0.00,0.00,0.00,0.00,164537.71,3455292.00,21.00,143533.48,86981291.00,606.00,3.35
370630016042,213303.00,312654.80,22000.00,32247.11,750000.00,1099333.33,179500.00,263107.11,155284.12,227612.01,46073500.00,67533512.44,216.00,85631.00,125516.02,2.10,17.50,16.00,2684,84.17,13.71,0.34,1.60,0.00,0.00,0.19,0.00,190827.49,6678962.00,35.00,196014.36,174452777.00,890.00,3.78
370630008021,63352.00,92859.95,4500.00,6596.00,250000.00,366444.44,61250.00,89778.89,51325.47,75231.74,1900582.00,2785830.86,30.00,28068.00,41141.45,2.18,23.50,18.50,1001,25.97,52.45,0.00,1.40,0.00,0.00,3.50,16.68,69150.33,829804.00,12.00,107553.40,7206078.00,67.00,15.19
370630018015,96289.00,141138.28,18000.00,26384.00,285000.00,417746.67,48500.00,71090.22,82941.46,121573.76,1829500.00,2681640.44,19.00,49583.00,72677.66,0.98,21.70,17.90,731,80.85,16.69,0.00,0.00,0.00,0.00,0.00,2.46,165058.50,1650585.00,10.00,157983.75,15324424.00,97.00,9.35
370630016012,152488.00,223513.52,12500.00,18322.22,344000.00,504227.56,142500.00,208873.33,73704.45,108034.34,72889500.00,106839809.33,478.00,65263.00,95661.06,2.18,27.20,19.00,2733,63.26,27.77,0.00,5.60,0.00,0.00,1.13,2.23,132572.92,4772625.00,36.00,151499.42,146348441.00,966.00,3.59
370630016041,179931.00,263738.86,25000.00,36644.44,516000.00,756341.33,152500.00,223531.11,107335.10,157329.40,26270000.00,38505982.22,146.00,84376.00,123676.47,1.81,21.00,14.80,1327,92.99,1.66,0.00,0.00,0.00,0.75,1.58,3.01,125315.00,3132875.00,25.00,157267.42,78790977.00,501.00,4.75
370630016031,116878.00,171317.18,21500.00,31514.22,185000.00,271168.89,125500.00,183955.11,36819.03,53968.52,7012731.00,10279105.26,60.00,54453.00,79816.00,2.30,45.00,15.90,715,78.18,21.82,0.00,0.00,0.00,0.00,0.00,0.00,124165.47,2110813.00,17.00,128317.57,30796216.00,240.00,6.61
370630017081,95125.00,139432.11,17000.00,24918.22,230000.00,337128.89,96750.00,141814.00,35425.71,51926.22,5707521.00,8365957.45,60.00,39833.00,58386.33,2.43,26.00,19.30,2720,14.08,81.36,0.00,0.22,0.00,0.00,3.31,1.03,94628.10,2744215.00,29.00,108218.52,60927029.00,563.00,4.90
370630017101,128656.00,188581.11,80000.00,117262.22,280000.00,410417.78,122000.00,178824.89,36194.68,53053.36,6175500.00,9051910.67,48.00,43750.00,64127.78,2.79,28.60,20.50,1743,58.46,37.92,0.52,1.21,0.00,0.00,0.00,1.89,120554.35,2411087.00,20.00,128481.04,51777861.00,403.00,4.73
370630017071,186311.00,273090.52,12000.00,17589.33,821000.00,1203403.56,151000.00,221332.44,149664.88,219375.46,43038000.00,63084144.00,231.00,60963.00,89358.21,2.48,33.40,17.10,2854,88.96,5.89,0.00,3.15,0.00,0.00,2.00,0.00,154964.63,5888656.00,38.00,218846.11,147064583.00,672.00,5.35
370630017093,76651.00,112353.33,13000.00,19055.11,132000.00,193482.67,79000.00,115796.44,26760.52,39224.98,3296000.00,4831203.56,43.00,21955.00,32181.15,3.60,28.10,30.70,2583,19.36,72.78,0.50,0.00,0.00,0.00,0.50,6.85,52118.09,1198716.00,23.00,92277.55,19193731.00,208.00,9.96
370630017111,107482.00,157544.73,85000.00,124591.11,147500.00,216202.22,105500.00,154639.56,17378.94,25473.66,3009500.00,4411258.22,28.00,33854.00,49622.44,3.12,28.30,14.20,902,59.65,34.81,0.00,2.44,0.00,0.00,0.00,3.10,99476.64,1094243.00,11.00,109819.30,15923799.00,145.00,7.05
370630018041,88137.00,129189.26,18500.00,27116.89,138000.00,202277.33,105000.00,153906.67,38927.27,57058.73,4759437.00,6976276.99,54.00,46648.00,68375.60,2.25,22.50,19.40,1700,93.29,2.94,0.00,0.00,0.00,0.00,0.00,3.77,106503.21,1491045.00,14.00,119748.71,39397326.00,329.00,4.08
