id,meansp1517,minsp1517,maxsp1517,mediansp1517,stddevsp1517,totsp1517,nums1517,mhi16,pir1517,mgr_phi16,mmoc_phi16
370630001011,172019.48,30000.00,451000.00,166000.00,75865.55,13245500.00,77,36809.00,4.51,37.80,17.90
370630001012,131871.95,36000.00,435000.00,123750.00,64231.34,10813500.00,82,48458.00,2.55,22.20,19.20
370630001021,176412.70,41000.00,435000.00,170000.00,69456.50,11114000.00,63,35387.00,4.80,41.70,14.10
370630001022,174965.28,35000.00,451000.00,172500.00,74082.57,12597500.00,72,51956.00,3.32,21.00,16.50
370630002001,230428.57,67500.00,451000.00,225750.00,92407.38,6452000.00,28,28375.00,7.96,35.70,30.60
370630002002,305034.09,80000.00,650000.00,306000.00,144510.86,13421500.00,44,38824.00,7.88,27.40,17.70
370630002003,334059.52,70000.00,600000.00,330500.00,112500.63,14030500.00,42,56359.00,5.86,23.80,15.90
370630003011,190042.86,28000.00,633000.00,134000.00,144308.05,6651500.00,35,26250.00,5.10,32.20,21.80
370630003012,254823.53,65500.00,520000.00,251000.00,107262.23,4332000.00,17,34250.00,7.33,31.00,12.10
370630003013,484961.54,200000.00,1070000.00,498500.00,266003.17,6304500.00,13,52031.00,9.58,27.00,13.30
370630003021,309758.62,5000.00,680000.00,302500.00,115452.48,17966000.00,58,74554.00,4.06,21.70,22.10
370630003022,283700.00,63500.00,535000.00,295000.00,137143.40,7092500.00,25,59583.00,4.95,30.00,17.10
370630003023,592657.89,77500.00,1425000.00,582500.00,365612.27,11260500.00,19,34805.00,16.74,28.30,16.50
370630004011,271608.70,46000.00,800000.00,260000.00,142954.25,18741000.00,69,64453.00,4.03,27.80,14.60
370630004012,369547.62,122000.00,767500.00,348500.00,135636.43,15521000.00,42,70441.00,4.95,28.80,17.20
370630004013,390840.91,190500.00,880000.00,355250.00,149302.67,17197000.00,44,85598.00,4.15,36.40,17.80
370630004021,305391.30,145000.00,656000.00,278500.00,111041.33,14048000.00,46,44100.00,6.32,33.80,19.70
370630005001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
370630005002,307038.46,23500.00,585000.00,330000.00,167825.98,3991500.00,13,28125.00,11.73,38.90,11.60
370630005003,244750.00,4000.00,509000.00,240750.00,135543.89,7832000.00,32,24667.00,9.76,40.90,22.70
370630005004,175555.17,24000.00,360000.00,145500.00,106301.25,5091100.00,29,34554.00,4.21,38.70,23.00
370630006001,263035.35,55000.00,660000.00,248000.00,113312.60,26040500.00,99,41591.00,5.96,30.10,17.60
370630006002,356406.98,27000.00,950000.00,327000.00,196694.78,15325500.00,43,32184.00,10.16,41.40,14.10
370630006003,559617.65,330000.00,1095000.00,465000.00,206464.85,9513500.00,17,110326.00,4.21,,21.30
370630007001,326333.33,52000.00,523000.00,332500.00,129069.46,3916000.00,12,22105.00,15.04,25.70,17.50
370630007002,444534.88,177000.00,1100000.00,392000.00,207380.27,19115000.00,43,59097.00,6.63,23.90,15.50
370630007003,358543.10,5000.00,850000.00,300000.00,178043.47,20795500.00,58,76071.00,3.94,50.00,13.20
370630009001,96416.67,40000.00,209000.00,66000.00,58881.73,2314000.00,24,23281.00,2.83,43.60,15.00
370630009002,179928.57,25000.00,1095000.00,117250.00,151744.43,12595000.00,70,26444.00,4.43,42.20,31.60
