id,meansp9800,meansp9800a17,minsp9800,minsp9800a17,maxsp9800,maxsp9800a17,mediansp9800,mediansp9800a17,totsp9800,totsp9800a17,nums9800,mhi99,mhi99a17,pir9800,mgr_phi99,mmoc_phi99,pop00,ptwhnl00,ptblknl00,ptnanl00,ptasnl00,ptpanl00,ptothnl00,pt2mnl00,ptlat00,mean_sfno2001,tot_sfno2001,num_sfno2001,mean_sfoo2001,tot_sfoo2001,num_sfoo2001,prc_sfno2001
370630008021,67625.00,99123.22,4500.00,6596.00,250000.00,366444.44,65750.00,96374.89,1893500.00,2775450.22,28.00,28068.00,41141.45,2.34,23.50,18.50,1001,25.97,52.45,0.00,1.40,0.00,0.00,3.50,16.68,69150.33,829804.00,12.00,107553.40,7206078.00,67.00,15.19
370630018015,96289.47,141138.97,18000.00,26384.00,285000.00,417746.67,48500.00,71090.22,1829500.00,2681640.44,19.00,49583.00,72677.66,0.98,21.70,17.90,731,80.85,16.69,0.00,0.00,0.00,0.00,0.00,2.46,165058.50,1650585.00,10.00,157983.75,15324424.00,97.00,9.35
370630016012,145773.67,213671.81,18500.00,27116.89,250000.00,366444.44,145000.00,212537.78,49271500.00,72221069.78,338.00,65263.00,95661.06,2.22,27.20,19.00,2733,63.26,27.77,0.00,5.60,0.00,0.00,1.13,2.23,132572.92,4772625.00,36.00,151499.42,146348441.00,966.00,3.59
370630016041,168800.55,247424.10,25000.00,36644.44,516000.00,756341.33,155000.00,227195.56,30890500.00,45278608.44,183.00,84376.00,123676.47,1.84,21.00,14.80,1327,92.99,1.66,0.00,0.00,0.00,0.75,1.58,3.01,125315.00,3132875.00,25.00,157267.42,78790977.00,501.00,4.75
370630016031,125825.44,184432.13,28500.00,41774.67,185000.00,271168.89,129000.00,189085.33,6039621.00,8852742.25,48.00,54453.00,79816.00,2.37,45.00,15.90,715,78.18,21.82,0.00,0.00,0.00,0.00,0.00,0.00,124165.47,2110813.00,17.00,128317.57,30796216.00,240.00,6.61
370630017081,97458.33,142852.25,10000.00,14657.78,230000.00,337128.89,100500.00,147310.67,4678000.00,6856908.44,48.00,39833.00,58386.33,2.52,26.00,19.30,2720,14.08,81.36,0.00,0.22,0.00,0.00,3.31,1.03,94628.10,2744215.00,29.00,108218.52,60927029.00,563.00,4.90
370630017101,133366.41,195485.52,78000.00,114330.67,280000.00,410417.78,129000.00,189085.33,17471000.00,25608603.56,131.00,43750.00,64127.78,2.95,28.60,20.50,1743,58.46,37.92,0.52,1.21,0.00,0.00,0.00,1.89,120554.35,2411087.00,20.00,128481.04,51777861.00,403.00,4.73
370630017071,213672.04,313195.73,32500.00,47637.78,821000.00,1203403.56,177000.00,259442.67,39743000.00,58254406.22,186.00,60963.00,89358.21,2.90,33.40,17.10,2854,88.96,5.89,0.00,3.15,0.00,0.00,2.00,0.00,154964.63,5888656.00,38.00,218846.11,147064583.00,672.00,5.35
370630017093,76390.24,111971.12,13000.00,19055.11,132000.00,193482.67,80000.00,117262.22,3132000.00,4590816.00,41.00,21955.00,32181.15,3.64,28.10,30.70,2583,19.36,72.78,0.50,0.00,0.00,0.00,0.50,6.85,52118.09,1198716.00,23.00,92277.55,19193731.00,208.00,9.96
370630017111,107222.22,157163.95,80000.00,117262.22,147500.00,216202.22,104000.00,152440.89,2895000.00,4243426.67,27.00,33854.00,49622.44,3.07,28.30,14.20,902,59.65,34.81,0.00,2.44,0.00,0.00,0.00,3.10,99476.64,1094243.00,11.00,109819.30,15923799.00,145.00,7.05
370630018041,98065.27,143741.89,24000.00,35178.67,138000.00,202277.33,108000.00,158304.00,4412937.00,6468384.99,45.00,46648.00,68375.60,2.32,22.50,19.40,1700,93.29,2.94,0.00,0.00,0.00,0.00,0.00,3.77,106503.21,1491045.00,14.00,119748.71,39397326.00,329.00,4.08
370630018013,87170.43,127772.48,5350.00,7841.91,114000.00,167098.67,91000.00,133385.78,8106850.00,11882840.58,93.00,43779.00,64170.29,2.08,39.60,25.80,2089,27.86,57.49,0.00,1.15,0.00,0.00,3.26,10.24,86814.56,1562662.00,18.00,91129.65,47022899.00,516.00,3.37
370630017113,86400.00,126643.20,66000.00,96741.33,105000.00,153906.67,94000.00,137783.11,432000.00,633216.00,5.00,35794.00,52466.05,2.63,28.80,23.80,1493,40.39,45.55,0.00,1.27,0.00,0.00,11.32,1.47,67023.00,67023.00,1.00,88539.96,2036419.00,23.00,4.17
370630017072,167716.87,245835.66,20000.00,29315.56,346500.00,507892.00,160000.00,234524.44,27841000.00,40808719.11,166.00,75130.00,110123.88,2.13,13.70,17.50,2464,90.91,5.36,0.28,1.62,0.00,0.00,0.85,0.97,162592.27,4227399.00,26.00,175782.56,143262784.00,815.00,3.09
370630017112,264825.00,388174.60,93600.00,137196.80,691000.00,1012852.44,134500.00,197147.11,2118600.00,3105396.80,8.00,37328.00,54714.55,3.60,23.40,19.20,1401,34.48,45.04,2.28,3.00,0.00,0.29,1.86,13.06,173824.00,347648.00,2.00,135597.74,5830703.00,43.00,4.44
370630017102,114097.56,167241.67,89500.00,131187.11,136000.00,199345.78,116000.00,170030.22,4678000.00,6856908.44,41.00,45691.00,66972.85,2.54,21.50,24.10,1427,36.79,47.58,1.47,5.33,0.00,0.28,4.21,4.35,126759.60,633798.00,5.00,115579.75,22769210.00,197.00,2.48
