trtid10,pop70,white70,black70,asian70,haw70,hu70,vac70,ohu70,own70,rent70,pwhite70,pblack70,pasian70,phaw70,pvac70,pohu70,pown70,prent70
37063000101,3406.12651585209,3224.72817976884,169.503557948861,11.4370416312304,0,1220.3062132597,26.5531451179413,1193.75312153436,669.871447719168,523.881673830096,94.67435119514724,4.9764316492647165,0.3357785325354911,0.0,2.175941155540964,97.82406321980358,54.893717694823295,42.93034552620163
37063000102,4038.60937933979,3823.76664502779,200.736892700195,13.5633039474487,0,1446.93322753906,31.4668655395508,1415.46643066406,794.26708984375,621.199340820313,94.68027941966695,4.970445860079946,0.3358409460651021,0.0,2.174728241818702,97.82527650370442,54.893140521393455,42.93213598231116
37063000200,2710.96396460823,2282.96965370733,415.994476318359,8.99988079071045,0,1099.9853515625,70.9990539550781,1028.986328125,517.993103027344,510.993194580078,84.21246772408682,15.344891402069067,0.33198083442658566,0.0,6.454545404102502,93.54545737025973,47.090909191795014,46.45454540410249
37063000301,2981.00004885589,1600.00002622255,1370,4,0,1179,61,1118,303,815,53.67326400536731,45.95773155139018,0.1341831578142779,0.0,5.173876166242578,94.82612383375742,25.699745547073793,69.12637828668363
37063000302,3695.00001424887,3550.00001368971,120,16,0,1580,68,1512,677,835,96.07577807848438,3.2476319225236576,0.43301758966982107,0.0,4.30379746835443,95.69620253164557,42.848101265822784,52.84810126582279
37063000401,3162.51738830911,3147.3234893598,3.51844143867493,4.88563677668571,.00260784733109176,1173.21205759048,35.954994186759,1137.25701379776,818.772270441055,318.484804391861,99.51956314910781,0.1112544535464553,0.1544856889877179,8.246112229239273e-05,3.064662859040391,96.93533291274181,69.78894097991402,27.1463971352254
37063000402,1872.01188623824,1471.32006119878,385.451568603516,11.4301948547363,.635010838508606,782.968322753906,36.1956176757813,746.772705078125,251.464279174805,495.308441162109,78.59565807327003,20.5902308333133,0.6105834550925306,0.03392130376824925,4.6228712738303095,95.37712872616973,32.11678836384323,63.260342311165104
37063000500,4340.63055454158,1834.37806620778,2489.4818821447,7.89908370585181,.000152241453179158,1635.92987678945,88.7047606999986,1547.22516186535,269.184192712884,1278.04090810567,42.260635710829604,57.35300092609743,0.18198009728303272,3.507358004008624e-06,5.4222838007020036,94.57771899745573,16.45450679347969,78.12320847234936
37063000600,4679.78155528778,4544.75012350543,95.7863960266113,30.1125460788608,0,1845.39876174927,150.310896515846,1695.08789634705,856.88115978241,838.206735610962,97.11457831552467,2.0468134013302457,0.6434605060750329,0.0,8.145171636148978,91.85483004986202,46.433387598578676,45.42144239960464
37063000700,2483.99998940894,2176.9999907179,299,7,0,917,43,874,595,279,87.64090177133656,12.037037088359492,0.28180354387463696,0.0,4.689203925845147,95.31079607415485,64.8854961832061,30.425299890948747
37063000900,2996.00000710095,125.000000296268,2865,2,0,977,26,951,238,713,4.172229639519362,95.62750311113281,0.06675567407408922,0.0,2.6612077789150463,97.33879222108496,24.36028659160696,72.978505629478
37063001001,5198.12493322002,3775.48259036355,1409.92256990116,11.7375936856924,6.43750945528154E-006,1759.8305923678,72.3889288945938,1687.44168636156,662.878350408748,1024.5632748279,72.63162465056024,27.123676095021676,0.22580437824185678,1.2384291524316584e-07,4.11340325645758,95.88659804414226,37.66716826514902,58.21942630565255
37063001002,4136.97229187678,3847.84322570361,279.833068847656,6.27322942018509,0,1598.96164703369,140.684914827347,1458.27672958374,728.414693832397,729.862037658691,93.01109493189273,6.764199736051577,0.15163817830017842,0.0,8.798517155701532,91.20148268027933,45.55548253353755,45.646000266028445
37063001100,3469.00004095554,1317.0000155487,2138,14,0,1147,49,1098,222,876,37.96483136350528,61.631593391710815,0.40357451238725506,0.0,4.272013949433305,95.7279860505667,19.35483870967742,76.37314734088928
37063001301,2219.15726440027,3.98943008179776,2211.1784260273,2.99207258224487,0,794.218117594719,17.9723218269646,776.245776683092,332.157621026039,444.088155657053,0.17977230121525023,99.64045637950196,0.13482922685308116,0.0,2.2628949691293343,97.73710262792089,41.82196473079395,55.91513789712694
37063001303,3526.79043577324,10.6536149098248,3506.37109375,7.54631042480469,.443900614976883,850.069702148438,85.2289199829102,764.840759277344,376.427734375,388.413055419922,0.3020767778477039,99.42102196330916,0.21397104711015189,0.012586532232657563,10.02610959636668,89.97388771112661,44.28198457416245,45.691906726973066
37063001304,4020.43837072646,12.1448106856432,3997.16088867188,8.60257434844971,.506033778190613,969.0546875,97.1584854125977,871.896179199219,429.116638183594,442.779541015625,0.30207677784770354,99.42102129399451,0.2139710537807671,0.01258653240092266,10.026109637140339,89.97388800095135,44.28198364022608,45.69190436072525
37063001400,3620.64239845286,6.14791313347821,3608.65421390533,3.3427065173164,.831647872924805,1048.3099476099,27.5340519994497,1020.77593940496,285.980143785477,734.795765116811,0.16980172181890374,99.66889343856072,0.09232357547226357,0.02296962200078575,2.626518241310799,97.37348593631908,27.28011352343827,70.09336950318105
37063001501,4119.24802530241,3315.86310170191,752.515563964844,38.0058364868164,0,602.8310546875,29.8199653625488,573.011108398438,21.6340923309326,551.377014160156,80.4968062455642,18.268275164363256,0.9226401579454844,0.0,4.946653814642494,95.05334934934294,3.5887488148976394,91.46460021804664
37063001502,3314.50438084511,2648.04385861818,629.961776733398,27.2938060760498,.357320159673691,771.479858398438,36.7359294891357,734.743927001953,153.374096870422,581.369842529297,79.89260397184933,19.006213428892032,0.8234656811372387,0.010780500449439259,4.761748357941328,95.23825139482614,19.880505654265637,75.35774734757148
