trtid10,pop80,nhwht80,nhblk80,ntv80,asian80,hisp80,haw80,hu80,vac80,ohu80,mhmval80,mrent80,own80,rent80,mhmval80a17,mrent80a17,pnhwht80,pnhblk80,pntv80,pasian80,phisp80,phaw80,pvac80,pohu80,pown80,prent80
37063001802,4032.269137,1993.220303,1997.042318,1.000131016,1.003177128,39.00226002,0,1390.09669,67.00560092,1323.091089,31817.99973,136.9999988,715,608,92251.22031607911,397.2096668504615,49.43172777606189,49.5265134877826,0.02480318108786001,0.024878724458019728,0.9672533924413985,0.0,4.820211529314554,95.17978846493045,51.435271024204795,43.73796473107205
37063002007,2592.596845,2123.167423,421.30784,3.20800218,21.38798982,18.71374887,0,924.4379726,34.21818806,890.2197883,72708.88001,193.9996347,829.8005505,60.41919966,210807.81210811425,562.471028782945,81.89346627859527,16.250418602974115,0.12373702398762272,0.8249639685108852,0.7218148439118385,0.0,3.701512602707208,96.29848780402641,89.76270719020441,6.535776488071971
37063000301,2409.000039,1142,1226,2,19,14,2,1144,41,1103,22195.00036,127.0000021,289,814,64350.866977828555,368.2162698248791,47.40556170659323,50.89248568501164,0.08302199948615277,0.7887089951184513,0.5811539964030694,0.08302199948615277,3.583916083916084,96.41608391608392,25.26223776223776,71.15384615384616
37063002100,2716.001445,2009.001191,675.0002384,4.000001497,4.000008235,24.00000824,1,1006.00047,62.00001048,944.0004593,33889.01127,114.0000158,668.0004245,276.0000348,98255.78827996484,330.52488097441756,73.96907666225488,24.85272015015441,0.1472753817699092,0.14727562985519693,0.8836522632998821,0.036818831663029544,6.163020031193425,93.8369799469378,66.40160163145849,27.435378315479316
37063001502,3783.433794,2943.63385,707.5159912,7.600147724,67.31669617,46.41195202,0.320954531,1296.201904,80.8364563,1215.365417,23957.54569,188.8699912,143.1873045,1072.178101,69461.08631702856,547.5984448154725,77.80323405336692,18.70036664370927,0.20087962781462645,1.7792486887640249,1.2267150569306355,0.008483154416736175,6.236409316368354,93.76358831517346,11.046682161022348,82.71690526694366
37063001900,1887.927942,1737.800102,135.5576453,0.1898693,1.979825422,12.34988934,0,703.5883408,51.63254237,651.95578,48135.44321,120.1623242,526.892519,125.0632925,139561.04765413623,348.39151227393404,92.0480100611806,7.180234069547978,0.01005702049193994,0.10486763705094841,0.6541504612150075,0.0,7.338459064186926,92.66153831638366,74.88647671462381,17.77506607880959
37063000700,2280.99999,1751,471,12,18,29,0,1168,45,1123,58325.99975,102.9999996,628,495,169106.94257186813,298.6320867523516,76.76457727647777,20.648838319372377,0.5260850527228631,0.7891275790842947,1.271372210746919,0.0,3.8527397260273974,96.1472602739726,53.76712328767124,42.38013698630137
37063001601,3816.065084,3135.857178,627.960083,3.943234444,21.68778992,21.68778992,0,1237.189819,27.60264015,1209.587158,51704.99852,241.0000026,1117.906982,91.68019867,149910.4045001846,698.7411064393845,82.17514924334033,16.45569635677629,0.1033324735611349,0.5683286171122338,0.5683286171122338,0.0,2.231075597785856,97.76892271694325,90.35856623065212,7.41035831866961
37063001604,4204.57264,3905.746034,236.9146774,3.412469665,16.08798624,37.53625226,0,1400.070783,73.60857231,1326.462204,63665.72955,229.9944842,1243.087855,83.3743412,184588.63829090106,666.8323594651428,92.89281856716832,5.634691030097175,0.08116091591653414,0.38263071226187684,0.8927483355359511,0.0,5.25748935009381,94.74251017207321,88.78750061024594,5.955009004712586
37063002018,2302.138295,2105.828243,104.4868134,2.976396608,59.46567895,29.78490674,0,828.7169384,18.22478882,810.4921618,68185.85971,196.7775666,676.6727494,132.5282069,197694.0354493011,570.5251996894945,91.47270811547834,4.538685344270336,0.12928834963843908,2.5830628454925204,1.2937931141969035,0.0,2.1991572725889394,97.80084420197969,81.65306126196106,15.991975155699315
37063001707,3867.288761,3663.199741,118.8865705,4.368078781,37.28925394,28.26548589,0,1540.818604,19.08330157,1521.735205,55232.41678,207.8803623,1054.819499,466.9157711,160137.59168390327,602.7159866948571,94.72268473825505,3.074158094914496,0.11294938265407693,0.9642221267790145,0.7308863557085699,0.0,1.2385170791979871,98.76147659753983,68.45838285322262,30.30309796934409
37063001801,5076.121004,3951.90082,1076.451126,2.940593071,2.920151005,39.04275721,0.946107566,1764.306765,61.7784498,1702.528295,33996.76593,135.0191495,1248.776514,453.7517511,98568.20574693626,391.466509934945,77.85277019373433,21.20617544679792,0.0579299246153274,0.057527214238961434,0.7691455183837064,0.018638396627158105,3.501570760003292,96.49842809507109,70.78001052725091,25.718415873103563
37063001708,2239.48688,535.4261665,1669.51099,1.373553332,2.945780873,21.38083065,0,647.6739216,39.02316859,608.6507797,40279.15542,183.2674728,322.4655972,286.185182,116782.99303310769,531.3548354236483,23.90843059995958,74.54881762915262,0.0613333949069619,0.1315382063323363,0.954720067393295,0.0,6.02512580614609,93.97487831475475,49.78826326732251,44.18661497023288
37063001603,4413.178548,4099.522949,248.6730194,3.5817101,16.88520432,39.39881134,0,1469.524536,77.26260376,1392.261841,63665.99817,229.9999958,1304.765869,87.49606323,184589.417111789,666.8483394711208,92.89275075575301,5.634782655976964,0.08115941970268092,0.3826086829786702,0.8927536221677475,0.0,5.257660002758879,94.7423337884302,88.78830104814256,5.954038948418075
37063001711,1667.621111,1372.160973,257.8685813,1.482541442,15.7712754,17.34890795,0.494180501,702.4049835,33.25777453,669.1472168,48322.99858,238.372012,285.7308044,383.4164124,140104.83456425494,691.1216664404395,82.28253791877069,15.463259585708137,0.08890157555699114,0.9457349331913082,1.0403387097682288,0.029633859738298792,4.734843190360138,95.2651579243814,40.678926134071205,54.586231790310194
