trtid10,ag25up00,hs00,col00,clf00,unemp00,hinc00,hincw00,hincb00,hinch00,hinca00,mhmval00,mrent00,hinc00a17,hincw00a17,hincb00a17,hinch00a17,hinca00a17,mhmval00a17,mrent00a17,pcol00,phs00,punemp00,meansp9800,minsp9800,maxsp9800,mediansp9800,stddevsp9800,totsp9800,nums9800,meansp9800a17,minsp9800a17,maxsp9800a17,mediansp9800a17,totsp9800a17,pir9800
37063000101,1969.028516,1114.011847,451.0101075,1533.022207,89.00151413,33265.02059,36591.16342,26790.03759,41730.64312,38002.94476,82700.30143,488.0002912,47242.69574891771,51966.45514987751,38046.980657721535,59265.49995635598,53971.45485006316,117450.25583948614,693.0538106889187,22.90520954039855,56.576724915242416,5.8056245841453755,75944.0,5000.0,326000.0,78750.0,34973.4258116073,15948435.0,210.0,107855.01473684212,7100.956937799044,462982.3923444976,111840.07177033494,22649830.032057416,2.367351608484304
37063000102,3066,1630,705,2369,89,33942.0,33162,31506,53214,69375,91000,505,48204.13607655503,47096.386794258375,44744.54985645933,75574.06449760766,98525.77751196173,129237.4162679426,717.1966507177034,22.99412915851272,53.16373124592303,3.7568594343604897,91426.0,14000.0,270000.0,90750.0,28396.28565499368,17371000.0,190.0,129842.41779904306,19882.679425837323,383451.67464114836,128882.36842105264,24670144.593301438,2.673678628248188
37063000200,2146.971436,891.9881592,760.9898682,1671.977783,113.9984818,34706.00004,48610.99862,29703.99944,30417.0005,156249.9994,115900,500.9999968,49289.16235345837,69036.92158080575,42185.36418076938,43197.962145502395,221904.90345410528,164600.18181818182,711.5158806228517,35.44480636490406,41.54634496963098,6.818181614557972,97697.0,7500.0,240000.0,97500.0,43561.893312848566,14654674.0,150.0,138748.43799043063,10651.435406698565,340845.9330143541,138468.66028708135,20812441.802296653,2.8093125075672076
37063000301,1592,926,304,1341,49,29256.0,31750,25481,32083,,80800,433,41549.11923444976,45091.07655502392,36187.89674641148,45564.00028708134,,114751.46411483255,614.9428708133971,19.09547738693467,58.165829145728644,3.6539895600298284,72007.0,6500.0,410500.0,70000.0,55879.15449431926,9144942.0,127.0,102263.72124401914,9231.244019138756,582988.5645933015,99413.3971291866,12987567.868133971,2.392671588733935
37063000302,2320,568,1239,2178,92,35467.0,41417,24948,23542,40000,150000,493,50369.92794258374,58820.066698564595,35430.93473684211,33434.145645933015,56807.65550239235,213028.7081339713,700.1543540669857,53.4051724137931,24.482758620689655,4.224058769513315,151492.0,2000.0,525000.0,135000.0,79591.30613955269,25905159.0,171.0,215147.63368421054,2840.3827751196172,745600.4784688995,191725.83732057418,36790283.705167465,3.8063552034285393
37063000401,2032.094069,662.3783231,995.7382413,1560.783231,81.08588957,48406.99566,50391.86844,40110.25685,2825.15208,45357.14286,133651.1178,575.2837397,68747.19833397704,71566.09756153493,56964.241331181816,4012.2566525626794,64415.823654091866,189810.16643730146,817.0130125251387,49.00059778187365,32.5958494345667,5.19520507136971,129080.0,15500.0,368000.0,130000.0,50844.61802393642,26977878.0,209.0,183318.30430622012,22012.966507177036,522630.4306220096,184624.88038277513,38313749.99023923,2.685562246273063
37063000402,996.9059448,335.6216736,423.2617798,921.2167969,20.91411018,26780.99899,26591.00066,32135.00013,19791.99945,,90300.00057,456.9999892,38034.144115845935,37764.310123929194,45637.85042385933,28108.42716147847,,128243.28310615983,649.0274487767656,42.457543964683154,33.66633285222636,2.2702701742280835,95671.0,25000.0,157000.0,93750.0,33280.698760693114,6123000.0,64.0,135871.13023923445,35504.78468899522,222970.04784688997,133142.94258373207,8695831.86602871,3.5006162404548897
37063000500,2237.328185,1200.679842,627.4370852,2040.090891,149.8246658,21152.09503,19279.40994,21518.11058,37547.84031,14466.31272,75866.10828,449.0646238,30040.023190452634,27380.45195402297,30559.8353222756,53325.119429733015,20544.93273469091,107744.39358693588,637.7577111785455,28.044034371291843,53.66578984924379,7.344019154291689,50829.0,1000.0,200000.0,47500.0,35913.83889254949,4168000.0,82.0,72186.90803827751,1420.1913875598086,284038.27751196176,67459.09090909091,5919357.703349283,2.245640440468464
37063000600,3416.137646,994.9875374,1710.109807,2909.265574,97.25114179,45582.13449,63723.32722,26024.11133,40550.82198,51173.1564,152388.5808,510.8715981,64735.3548292909,90499.32050449953,36959.218779763636,57589.92813446699,72675.6759935311,216420.950014622,725.535443770536,50.059745367766126,29.1260962088294,3.3428072933296256,134417.0,10000.0,322000.0,120750.0,66405.15641876013,36292816.0,270.0,190897.8657416268,14201.913875598088,457301.62679425837,171488.1100478469,51542744.713492826,2.6490641860242556
37063000700,2075,543,1158,1594,80,40595.0,56579,20850,101178,,160200,394,57652.66937799043,80353.00851674641,29610.990430622012,143692.12421052632,,227514.66028708135,559.5554066985646,55.807228915662655,26.16867469879518,5.018820577164367,159576.0,10000.0,550000.0,147000.0,102646.37334557905,34309000.0,215.0,226628.46086124404,14201.913875598088,781105.2631578947,208768.13397129189,48725346.315789476,3.621135607833477
