trtid10,ag25up70,hs70,col70,clf70,unemp70,hinc70,mhmval70,mrent70,hinc70a17,mhmval70a17,mrent70a17,pcol70,phs70,punemp70
37063000101,1945.071455,1474.262356,247.9986067,1709.853534,52.1628529,8885.250217,13708.0383,101.0796008,55669.023101001374,85885.38107031134,633.2970366112083,12.750102627977746,75.79476590488548,3.0507205361602625
37063000102,2306.304199,1748.038574,294.0524292,2027.442627,61.84866714,8885.134843,13707.69246,101.0833371,55668.30024483926,85883.21426864802,633.3204457629972,12.749941197154277,75.79392929856951,3.0505754548288877
37063000200,1630.978271,1097.985352,322.995697,1319.982422,46.99937439,6974.137687,14243.42131,80.54054792,43695.2727863924,89239.73220547123,504.6130962240506,19.80380135916599,67.32066095073071,3.560606081313407
37063000301,1598,1251,169,1392,28,5559.632979,10786.29043,65.81632956,34832.934265472926,67579.66702760104,412.3610119261044,10.575719649561952,78.28535669586984,2.0114942528735633
37063000302,2236,1151,720,1731,18,6618.556396,17950.58198,95.83333645,41467.43872212601,112466.31648134247,600.42746016019,32.200357781753134,51.47584973166368,1.0398613518197575
37063000401,1987.32037,1342.01591,345.8557713,1507.567112,32.02144943,8777.285434,15785.91323,79.11986444,54992.5881270687,98903.95282171186,495.7120456586976,17.4031211334084,67.52891633672532,2.1240480224803417
37063000402,1076.978394,884.5700684,90.80654907,901.0803223,20.9553566,4620.320897,9659.090579,66.65384272,28947.834272243585,60517.38819332516,417.60830809816144,8.431603602810995,82.13443030315797,2.325581425028972
37063000500,2415.447325,2081.981102,221.0337322,1926.731502,52.23076049,3712.22524,9549.559249,54.36239426,23258.31547729393,59831.13828576633,340.59832958845806,9.150840505288187,86.19443199822211,2.710847901525617
37063000600,2668.038322,1074.359661,1212.063598,2094.753418,32.78520435,8862.862613,25956.72679,119.2010675,55528.757378166956,162627.45426507227,746.8340022237466,45.42901756716222,40.2677747220154,1.5651104358288723
37063000700,1612,769,589,1072,15,9867.346701,24707.79328,67.79412382,61822.18148371124,154802.47390753773,424.7525452718184,36.53846153846153,47.70471464019851,1.3992537313432836
37063000900,1662,1536,56,1127,94,3074.626979,7713.414391,46.92014924,19263.552082465012,48327.08516172285,293.97020997185854,3.369434416365824,92.4187725631769,8.34072759538598
37063001001,2723.704448,2512.70451,85.56474835,1961.81374,111.4712572,5114.313235,9130.421409,54.87445621,32042.859196046433,57205.10148009245,343.8065665910754,3.1414843270836412,92.25319993309348,5.682050998378674
37063001002,2303.389229,1976.493866,170.9809134,2008.652084,26.59567952,8420.24657,12437.09417,73.18738754,52755.62188722743,77922.49691903747,458.54312125852874,7.423014367147586,85.80807104225632,1.3240560539004722
37063001100,1914,1836,14,1248,99,2976.68383,6084.558559,51.5,18649.905950830605,38121.76615266237,322.6644854881266,0.7314524555903866,95.92476489028213,7.9326923076923075
37063001301,1358.893764,1043.710495,152.6056468,1070.504966,47.88697193,4517.563179,11411.00914,53.72099959,28304.023277905642,71493.73578754195,336.57978043913033,11.230138134624628,76.80589334134291,4.4733068459207885
37063001303,1392.516235,983.6837769,249.9160461,1347.238403,42.17055893,1434.097336,14140.62518,65.22522795,8985.09279728802,88595.68054728441,408.6575653850976,17.947083116054298,70.64074027833507,3.130148222919978
37063001304,1587.427979,1121.37085,284.8970032,1535.8125,48.07320786,1434.097387,14140.62509,65.22522793,8985.09311681984,88595.67998340474,408.657565259791,17.94708213341879,70.64073865615039,3.1301482348919545
37063001400,1591.945302,1307.963334,167.8006237,1387.999846,89.96703229,3925.015269,12212.05138,55.74613503,24591.515190386912,76512.5296171314,349.26792189138996,10.540602336599626,82.16132378146244,6.481775379822341
37063001501,972.9494019,550.7922974,323.34198,1149.530396,46.77641296,1011.252811,13888.88868,76.11111253,6335.832387567703,87018.4683482343,476.86122261012343,33.233175267754895,56.610579781887836,4.069175823690007
37063001502,1140.083252,800.0861206,228.5846367,1138.033875,37.46792603,1799.432258,9986.592322,71.5772818,11274.036576666174,62569.29462830691,448.4552777599155,20.049819721411012,70.17786808081276,3.2923383787675036
37063001503,145.3091583,82.26035309,48.29084396,171.681366,6.986017227,1011.252846,13888.88914,76.11111565,6335.832606854247,87018.471230286,476.86124215795246,33.233172998153684,56.61057709808508,4.069176166154223
37063001601,906.1107788,688.986145,131.6425171,728.6498413,7.180500507,10846.71487,21445.14708,65.99999782,67958.24607310606,134360.91939389126,413.51175415160736,14.528302739576679,76.03773855471103,0.9854528334472855
37063001603,885.6265259,673.4104004,128.6665039,712.1774292,7.018172741,10846.71481,21445.14691,65.99999975,67958.24569718627,134360.91832878522,413.5117662436939,14.528302860988187,76.03774059450853,0.9854528454915544
37063001604,843.794564,641.5977405,122.5924163,678.5456425,6.686896555,10846.70958,21445.1019,66.00715696,67958.21292951134,134360.63632629023,413.5566085249013,14.528704204830595,76.03719766319801,0.9854748356150559
37063001705,1284.863178,928.1077619,181.6097008,1055.495277,9.812587798,10622.90303,19321.28574,99.23921841,66555.99107893615,121054.22761681899,621.766433951582,14.134555640600668,72.23397617672252,0.9296666704080381
37063001706,558.1937667,381.2022821,113.9564554,520.7008061,6.910001524,9769.5163,20732.36933,112.7510373,61209.24175548284,129895.1317051314,706.422435702079,20.41521460794915,68.29210658399852,1.3270579655436412
37063001707,1571.038033,1082.427901,307.7278261,1442.117019,17.8011321,10734.59493,20584.31846,113.9634034,67255.77767013403,128967.54417513877,714.0183091754723,19.58754782736695,68.89889857937004,1.2343750101738449
