trtid10,ag25up80,hs80,col80,clf80,unemp80,hinc80,hincw80,hincb80,hinch80,hinca80,hinc80a17,hincw80a17,hincb80a17,hinch80a17,hinca80a17,pcol80,phs80,punemp80
37063000101,2013.882084,1378.675458,313.0569712,1679.87386,73.68269484,15541.40078,19399.55541,14303.4757,,,45059.815184562634,56245.91977334505,41470.6486669011,,,15.544950406341664,68.45859888984444,4.386204023675921
37063000102,2387.684082,1634.649414,371.0920105,1991.635498,87.34767914,15541.00048,19399.67179,14296.87501,,,45058.6545784967,56246.25719861098,41451.51101800439,,,15.54192253898018,68.46171259938063,4.3857261646377825
37063000200,1711.977295,1113.985229,295.9960632,1391.981445,47.99936295,12356.00023,15076.53006,11874.99982,,,35824.25385366153,43711.99660472966,34429.66980778901,,,17.28971897375543,65.0700936428015,3.4482760616108643
37063000301,1414,989,239,1254,65,8404.000138,13833.3326,9189.189371,,,24366.059301207908,40107.54366136263,26642.590369721318,,,16.902404526166904,69.94342291371994,5.18341307814992
37063000302,2325,959,930,1839,50,12690.00005,21594.20342,12948.7182,,,36792.633111999996,62608.951981679114,37542.74516360439,,,40.0,41.24731182795699,2.718868950516585
37063000401,1874.957981,980.9579604,633.039382,1335.55442,39.8807154,16644.13367,19037.9918,11500.00011,,,48257.01348893186,55197.62369793406,33342.417901345056,,,33.762857003460496,52.31893036220527,2.986079399145712
37063000402,1287.16687,862.3446655,269.2445984,1196.360352,49.53084183,9058.99956,13115.6723,11499.99947,,,26265.12575725714,38026.80197397802,33342.41604576703,,,20.91761407749719,66.99556099513345,4.140127324279633
37063000500,2268.842938,1526.328026,540.3601142,1917.224883,134.9977173,7460.796773,13427.57267,8182.324467,,10937.50044,21631.39143503648,38931.10739838241,23723.34601509099,,31711.539737248346,23.816550063898696,67.2734106198408,7.0413084295443085
37063000600,2981.73455,785.9895878,1592.820924,2656.470289,85.02960992,16364.42592,23301.3399,13600.12278,,10937.5,47446.04543662417,67558.5221891868,39431.38894807912,,31711.538461538457,53.41927315427861,26.360146237699126,3.2008492725137345
37063000700,1780,738,770,1128,41,15311.99993,30029.93956,9625,,,44394.703972870324,87067.02476385054,27906.153846153844,,,43.258426966292134,41.46067415730337,3.6347517730496453
37063000900,1302,1103,64,817,80,6557.000016,,7972.222039,,,19010.976749686153,,23114.187502964392,,,4.915514592933948,84.715821812596,9.791921664626683
37063001001,2581.023103,2250.381308,52.25465277,1862.189384,122.3201476,9944.330672,14098.00986,10161.05629,,,28832.00224725802,40874.93320288351,29460.36364344615,,,2.0245712914875833,87.18950657141792,6.568620176389106
37063001002,2623.019398,1971.368973,259.1839942,2409.284096,111.8461399,12799.01776,16179.36133,10159.0902,,,37108.71259119121,46909.48014623296,29454.66327876923,,,9.88113143187666,75.15647709289263,4.642297688582758
