trtid10,pop00,nhwht00,nhblk00,ntv00,asian00,hisp00,haw00,hu00,vac00,ohu00,own00,rent00,pnhwht00,pnhblk00,pntv00,pasian00,phisp00,phaw00,pvac00,pohu00,pown00,prent00
37063001705,4073.317498,3050.441026,794.9090407,7.999191718,88.98790762,113.9828763,0.000108833,1884.684743,79.98903025,1804.695766,1260.774695,543.9210106,74.88836869450436,19.515027765213507,0.19638026551889476,2.1846543428960077,2.7982811640871508,2.67185163084972e-06,4.244159695518902,95.75584312988732,66.89578719638418,28.86005272872313
37063001706,3847,2652,746,10,255,156,0,2084,141,1943,765,1178,68.93683389654277,19.391733818559917,0.25994281258123214,6.62854172082142,4.055107876267221,0.0,6.765834932821497,93.2341650671785,36.70825335892514,56.52591170825336
37063001707,5903,5283,360,25,152,68,0,2654,155,2499,2003,496,89.49686600033881,6.098593935287142,0.42351346772827375,2.5749618837879047,1.1519566322209047,0.0,5.840241145440844,94.15975885455916,75.47098718914846,18.6887716654107
37063001708,2720,368,2201,7,18,111,0,1142,50,1092,612,480,13.529411764705882,80.91911764705883,0.25735294117647056,0.6617647058823529,4.080882352941177,0.0,4.378283712784588,95.6217162872154,53.59019264448336,42.03152364273205
37063001709,4509,511,3820,4,25,134,0,1760,134,1626,626,1000,11.33288977600355,84.71944998891107,0.08871146595697493,0.5544466622310933,2.9718341095586602,0.0,7.613636363636364,92.38636363636363,35.56818181818181,56.81818181818182
37063001710,3170.682547,1496.558926,1395.090928,16.00080834,121.0120952,125.017121,1.999891162,1477.315303,107.0109692,1370.30425,723.2252922,647.0789579,47.199897934152915,43.99970376473013,0.5046487026946126,3.816594484190725,3.9429087947731403,0.0630744684261196,7.243610689112316,92.75638363843576,48.9553780923638,43.801005552841005
37063001711,3796,1680,1733,12,101,233,0,2060,181,1879,458,1421,44.25711275026343,45.65331928345627,0.31612223393045313,2.660695468914647,6.1380400421496315,0.0,8.78640776699029,91.2135922330097,22.233009708737864,68.98058252427185
37063001801,5506.809124,2787.44125,2439.333137,28.00335586,15.0072559,229.0218584,0,2180.323795,103.0139676,2077.309827,1666.262754,411.0470727,50.61808367120734,44.29667130405517,0.5085223625775338,0.27252181003686443,4.158884995702277,0.0,4.724709597548562,95.27529038410555,76.42272023179018,18.85257013855596
37063001802,6410,1178,4218,16,28,952,0,2293,102,2191,1358,833,18.377535101404057,65.80343213728548,0.24960998439937598,0.43681747269890797,14.85179407176287,0.0,4.448320976886175,95.55167902311382,59.223724378543395,36.32795464457043
37063001806,2943.191008,1605.046997,1211.785767,12.20693493,26.39337349,79.51003265,0,1177.804321,50.80724335,1126.99707,955.7700195,171.227005,54.534245063852815,41.17251526340625,0.414751706458054,0.8967604691051025,2.7014907436819677,0.0,4.313725331459367,95.68627401902695,81.14845585627631,14.537814299630167
37063001807,5976.99996,3259.511719,2460.881104,24.78970909,53.59937286,161.4681091,0,2391.87207,103.1787872,2288.693115,1940.967285,347.7259216,54.53424361408228,41.17251330883395,0.4147517024577661,0.8967604687753754,2.701490884734756,0.0,4.313725156713754,95.68626782786089,81.14845728350346,14.537814373993674
37063001808,2905.999979,2080.481201,567.7556763,15.47545338,60.93459702,175.5496674,0,1269.954346,81.72973633,1188.224609,846.7974854,341.4271851,71.5926089481916,19.537359958804046,0.5325345317216879,2.0968546958134713,6.040938357487854,0.0,6.43564365816974,93.56435628907246,66.67936434622037,26.884996785545862
37063001809,3111.030011,2226.002625,608.2446268,16.59473388,66.18841052,187.7613788,0,1360.312656,87.71212274,1272.600526,905.3844869,367.2160087,71.55194958355547,19.55122980650668,0.5334160654614142,2.127540084344111,6.035344504428183,0.0,6.447938446586061,93.5520610197131,66.55708765970637,26.994971125226375
37063001900,1616,1481,94,3,5,31,0,731,40,691,566,125,91.64603960396039,5.816831683168317,0.18564356435643564,0.3094059405940594,1.9183168316831682,0.0,5.471956224350205,94.52804377564979,77.4281805745554,17.099863201094394
37063002007,4705.589327,2904.277832,1505.588745,18.98220825,176.8342438,76.92789459,0,2103.028809,93.91197205,2009.116821,1570.527954,438.5888977,61.71974709598368,31.995753143206674,0.4033970440446811,3.7579616815549617,1.6348195570021107,0.0,4.465558039343056,95.53444120222701,74.67933616880852,20.855106493217804
37063002008,2817,2519,178,3,78,34,0,1129,45,1084,1035,49,89.42137025204117,6.318778842740504,0.10649627263045794,2.768903088391906,1.2069577564785232,0.0,3.985828166519043,96.01417183348096,91.674047829938,4.340124003542958
37063002009,4798.982727,47.25644606,4548.231627,17.11318918,11.81227629,167.5021676,7.26396E-06,1940.894971,129.7121737,1811.182797,1356.920124,454.2626736,0.9847179860457957,94.77491138717326,0.3566003495640421,0.24614125455259217,3.490368211946265,1.5136457897903163e-07,6.683111432514501,93.31688855202871,69.91208407845373,23.404804504488567
37063002013,4336,2777,1127,38,256,126,1,1703,39,1664,1390,274,64.04520295202953,25.99169741697417,0.8763837638376383,5.904059040590406,2.9059040590405902,0.023062730627306273,2.2900763358778624,97.70992366412213,81.62066940692895,16.08925425719319
37063002015,5355.410681,2181.722261,1606.411231,23.01779255,361.1657517,1144.072107,0,2568.971228,159.0880263,2409.883201,505.4720998,1904.411102,40.73865462345109,29.99604188525164,0.4298044337040825,6.743941281316647,21.36292014091384,0.0,6.192674505889795,93.80732546686194,19.676051420533856,74.13127407746897
37063002016,4010.348725,1409.751465,1400.022217,14.59369946,290.9010925,866.8657837,0,2147.219727,253.9303741,1893.289307,216.959671,1676.329712,35.152839856838135,34.91023631616974,0.363901008633607,7.253760519292498,21.615720804928255,0.0,11.8260078792579,88.17398998309407,10.10421375473885,78.06977976781599
37063002017,4869.000531,4217.000397,312.0000531,16.00000287,237.0000523,63.00002411,0,2074.000223,124.0000132,1950.00021,1569.000129,381.000081,86.60915870004861,6.407887021444238,0.3286095938608145,4.867529810092765,1.2939005389071296,0.0,5.97878495020779,94.0212150594354,75.65091418989688,18.37030086953853
37063002018,5265.65139,4200.248634,594.9777641,20.40630054,282.0989246,155.1342525,0,2594.780354,174.0696297,2420.710724,1527.040335,893.6703911,79.76693333661801,11.299224351044629,0.387536109563835,5.357341451348908,2.946155015020848,0.0,6.708453354506938,93.29154663393139,58.850466192484504,34.441080522378584
37063002019,4097.639266,2578.431152,1053.420776,20.30768394,299.4577332,128.9376678,0,2048.81958,146.3442535,1902.475342,968.3218994,934.1534424,62.92479607452102,25.70799203191743,0.4955947222709965,7.308055047322948,3.1466329618093822,0.0,7.142857034780975,92.85714372175221,47.26242900314336,45.594714708847135
37063002020,2195.360541,1381.426147,564.3831177,10.88009071,160.4381714,69.0799408,0,1097.680298,78.4057312,1019.274536,518.7903442,500.4841614,62.92479623282069,25.707992248185352,0.495594710153807,7.308055711291933,3.1466330705084857,0.0,7.142856744614725,92.8571404494681,47.26242651391745,45.59471116607397
37063002021,2279.959187,1434.659668,586.1317139,11.29935741,166.6206818,71.74195099,0,1139.979614,81.42711639,1058.55249,538.7820435,519.7704468,62.92479603057035,25.707991495726716,0.4955947226786916,7.308055457748859,3.1466331239200382,0.0,7.142857239726041,92.85714209271816,47.262427931452464,45.59471418758195
37063002022,4139.040816,2604.48291,1064.064331,20.51286697,302.4833984,130.2404327,0,2069.520508,147.8228912,1921.69751,978.1055908,943.5919189,62.92479407141948,25.707993187376193,0.49559470133043504,7.308055461321163,3.1466332053682273,0.0,7.142857035171743,92.85713780421257,47.26242562076607,45.594712168950394
37063002023,2934.999892,1992.101685,604.8922119,10.85511971,238.0640106,75.61152649,0.374314487,1359.884521,47.53794098,1312.346558,899.8520508,412.4945679,67.87399517219473,20.60961615531126,0.36985077033863145,8.111210199662931,2.5762020194990862,0.01275347532448904,3.49573366310859,96.50426471763626,66.17121063620078,30.333058545049795
37063002024,4905.94309,3329.859619,1011.096008,18.14466858,397.931366,126.387001,0.625678241,2273.089111,79.46113586,2193.62793,1504.130493,689.4974365,67.87399604751631,20.60961551023618,0.3698507758270796,8.111210397265332,2.5762019387795223,0.012753475315996788,3.4957334261762694,96.5042645879799,66.1712066509477,30.3330579150357
37063002025,4123.152799,996.6160278,2597.661133,16.14887047,253.1912231,246.2702789,0,1722.738525,82.47459412,1640.263916,1047.369629,592.8942871,24.171212574069823,63.00181583447545,0.39166315820060393,6.140718897475912,5.972863265211238,0.0,4.7874121883934775,95.21258694786547,60.79678452654329,34.4158024271269
37063002026,3026.523829,731.7618037,1906.507298,11.85704365,185.9034028,180.7559314,0,1264.621026,60.56264177,1204.058403,768.7299702,435.3284637,24.178293152305457,62.9933020758648,0.39177103237669564,6.14247279399167,5.972394126489463,0.0,4.788995321512233,95.21100616272689,60.78737854228908,34.423630063857566
37063002027,3415.48887,1907.21875,850.8190308,29.85330009,477.6528015,132.3043976,0,1814.944946,187.940094,1627.004883,502.7567139,1124.248169,55.84028590320072,24.910607622621235,0.8740564301707122,13.984902884488099,3.873659163761233,0.0,10.35514021591705,89.64486149212374,27.70093467617502,61.94392681043891
37063002028,1258.636673,702.8262939,313.5340576,11.00119495,176.0191193,48.7552948,0,668.8226318,69.25752258,599.5651245,185.2701111,414.2949829,55.840284092850354,24.91060878217395,0.8740564442460037,13.984903115881162,3.873659162003458,0.0,10.355140404505672,89.64486188010602,27.700933295481228,61.94392402437241
37063002100,5821,4813,795,25,47,121,0,2276,134,2142,1858,284,82.68338773406632,13.65744717402508,0.4294794708812919,0.8074214052568288,2.078680639065453,0.0,5.8875219683655535,94.11247803163445,81.63444639718806,12.478031634446397
37063002200,1267,293,734,11,16,200,0,506,60,446,114,332,23.125493291239145,57.9321231254933,0.8681925808997633,1.2628255722178374,15.785319652722968,0.0,11.857707509881422,88.14229249011858,22.529644268774703,65.61264822134387
37063002300,2433.453108,69.9922657,2247.471313,11.99834275,4.997790337,98.99337101,0,803.8149414,84.99116135,718.8237915,132.976799,585.8469849,2.8762529045618246,92.35728872734045,0.49305830922138316,0.20537853474840823,4.0680204884391795,0.0,10.573473690594923,89.4265277338623,16.543210650998233,72.88331613737282
37063980100,336.8799924,188.1147461,83.91885376,2.944521189,47.11233902,13.04958248,0,179.013504,18.53709984,160.4764099,49.58841324,110.8879929,55.840284476330325,24.910607828664865,0.8740564163584326,13.984902660547554,3.8736590995007396,0.0,10.35514049264127,89.64486271382073,27.700934360795483,61.94392625262505
